,two_GRU_two_Linear,two_LSTM_one_CNN_two_Linear,two_LSTM_two_Linear,two_LSTM_one_Linear,two_LSTM_three_Linear,two_GRU_three_LSTM,USA
1998-07,0.023860125,0.023372276,0.027077291,0.03307095,0.026306853,0.03031212,0.0
1998-08,0.023818105,0.023486096,0.0271211,0.0326088,0.026192356,0.030000843,0.0
1998-09,0.023748852,0.023280434,0.027063627,0.032453425,0.026241284,0.030070387,0.0
1998-10,0.023893166,0.023269989,0.027106415,0.031827435,0.025835535,0.029568605,0.0
1998-11,0.023592038,0.023262631,0.027077388,0.0316779,0.025823575,0.029315516,0.0
1998-12,0.023625068,0.02305863,0.02702263,0.032136284,0.026044596,0.029291809,0.0
1998-13,0.023726324,0.023039747,0.026974313,0.03187564,0.025899362,0.029276676,0.0
1998-14,0.023558378,0.023096953,0.02689518,0.031827837,0.025918338,0.02923765,0.0
1998-15,0.023890652,0.022939129,0.027028594,0.031840876,0.025903128,0.029026456,0.0
1998-16,0.023818418,0.022619354,0.027000796,0.03139037,0.02571253,0.029175416,0.0
1998-17,0.023676611,0.022824183,0.026858445,0.032133475,0.025703598,0.02922745,0.0
1998-18,0.02363989,0.022881255,0.0269649,0.032057635,0.025969375,0.029089019,0.0
1998-19,0.023623805,0.02292415,0.027112346,0.031736158,0.02600301,0.02915728,0.0
1998-20,0.023745863,0.023225782,0.027171224,0.0321688,0.025942583,0.029464908,0.0
1998-21,0.02385001,0.023188379,0.027188212,0.032154858,0.02600309,0.029458173,0.0
1998-22,0.023831561,0.023290306,0.027139906,0.03222931,0.02596501,0.029531464,0.0
1998-23,0.023822358,0.023249848,0.027174983,0.032323174,0.025980651,0.0296496,0.0
1998-24,0.02380788,0.023304144,0.027131204,0.03238307,0.02596494,0.029731832,0.0
1998-25,0.023745757,0.023377907,0.027173445,0.032454602,0.026047934,0.029756643,0.0
1998-26,0.023796536,0.023400579,0.027201258,0.032287717,0.026053146,0.029750787,0.0
1998-27,0.023747966,0.023457892,0.02721769,0.032397084,0.026030924,0.029813834,0.0
1998-28,0.023882871,0.023621101,0.02725304,0.032392457,0.025986046,0.029805534,0.0
1998-29,0.023834903,0.023629956,0.027256291,0.03241183,0.025976837,0.02988261,0.0
1998-30,0.023923164,0.023639914,0.027265888,0.03244088,0.026009727,0.02982682,0.0
1998-31,0.023880666,0.023602594,0.027257238,0.032414086,0.026008582,0.0298578,0.0
1998-32,0.023909258,0.023647249,0.027235597,0.032454066,0.025996327,0.029815778,0.0
1998-33,0.02391973,0.023640515,0.027258914,0.032457694,0.02597549,0.029822811,0.0
1998-34,0.023921184,0.023606844,0.027257204,0.032455854,0.026019912,0.0298725,0.0
1998-35,0.023942137,0.023580208,0.027286265,0.032379925,0.02594864,0.029795907,0.0
1998-36,0.023881827,0.023595873,0.027279165,0.032378063,0.025981193,0.029774502,0.0
1998-37,0.023903817,0.023587957,0.027274445,0.032466114,0.025984861,0.029801495,0.0
1998-38,0.023894664,0.023611277,0.027278744,0.032472424,0.026002292,0.029868804,0.0
1998-39,0.02390847,0.0236198,0.027284447,0.0324262,0.025993947,0.029817365,0.0
1998-40,0.023930382,0.023687499,0.02728998,0.032433286,0.026017487,0.029838972,0.0
1998-41,0.023979148,0.02366169,0.027292136,0.03242173,0.025982123,0.029847316,0.0
1998-42,0.023925865,0.023691516,0.027266126,0.032561235,0.02600351,0.029923223,0.0
1998-43,0.023956425,0.02363617,0.027290791,0.032543465,0.026052628,0.02988971,0.0
1998-44,0.023971425,0.023812424,0.027341116,0.032502078,0.02608445,0.02995985,0.0
1998-45,0.02403595,0.02384919,0.027365785,0.032571144,0.026081549,0.030013725,0.0
1998-46,0.024093002,0.023970049,0.027394805,0.032646038,0.026138319,0.030082412,0.0
1998-47,0.024290338,0.024479168,0.027534924,0.032798238,0.026255524,0.030279994,0.0
1998-48,0.024670534,0.025285427,0.027834754,0.03290294,0.026453974,0.030640945,0.0
1998-49,0.025406588,0.02606757,0.028110567,0.033187866,0.026769228,0.031083241,0.0
1998-50,0.025990887,0.02617982,0.028222315,0.033737563,0.027123831,0.031375587,0.0
1998-51,0.026438072,0.025842529,0.028159253,0.034789667,0.02752552,0.031849056,0.0
1998-52,0.027276533,0.026467813,0.028382467,0.03644053,0.0281434,0.03304612,0.0
1999-01,0.027617948,0.02580364,0.028429262,0.03699723,0.028359558,0.033795476,0.0
1999-02,0.027704125,0.025816832,0.028294474,0.03811366,0.02885487,0.034480117,0.0
1999-03,0.027789675,0.025868753,0.02821736,0.03910079,0.029458137,0.035063364,0.0
1999-04,0.026616065,0.025347449,0.028247148,0.0383301,0.029479407,0.03531824,0.0
1999-05,0.02684531,0.025189998,0.027890135,0.039046533,0.028972851,0.035564683,0.0
1999-06,0.02618544,0.0251379,0.027761627,0.0387626,0.028677957,0.03482107,0.0
1999-07,0.025311854,0.02447751,0.02736215,0.037120655,0.028587954,0.03483565,0.0
1999-08,0.024179094,0.023640689,0.027031008,0.036951892,0.028211439,0.033995308,0.0
1999-09,0.024031343,0.024258405,0.02676731,0.035365343,0.02768796,0.033184707,0.0
1999-10,0.023452964,0.023882812,0.02650188,0.03407409,0.02717518,0.032505475,0.0
1999-11,0.02363513,0.02338242,0.026473083,0.032608546,0.02677775,0.031253457,0.0
1999-12,0.023430564,0.02315553,0.026494347,0.031271525,0.026248325,0.030272193,0.0
1999-13,0.023357956,0.022745654,0.026437163,0.030785955,0.025807895,0.029113129,0.0
1999-14,0.02349851,0.022483217,0.026558645,0.03066948,0.025688767,0.028539784,0.0
1999-15,0.023436658,0.021903032,0.026378527,0.030902006,0.026079068,0.028330542,0.0
1999-16,0.023641296,0.021478802,0.026484456,0.03047888,0.025598772,0.027537555,0.0
1999-17,0.023398753,0.021442195,0.026463017,0.030151613,0.025578044,0.027136154,0.0
1999-18,0.023547692,0.021284599,0.026453938,0.030700572,0.025498185,0.02726245,0.0
1999-19,0.023444602,0.020974025,0.02654168,0.030499354,0.02533675,0.027422316,0.0
1999-20,0.023011224,0.020781156,0.026540939,0.03038393,0.025416462,0.02710139,0.0
1999-21,0.023009315,0.02119569,0.026647653,0.030728817,0.025752084,0.027297355,0.0
1999-22,0.023192875,0.021201503,0.026731633,0.030621365,0.025621219,0.027647115,0.0
1999-23,0.023042694,0.021838237,0.026567843,0.03152045,0.025708327,0.028331928,0.0
1999-24,0.02334303,0.021887453,0.02671989,0.03148716,0.02594375,0.028327368,0.0
1999-25,0.023299325,0.022240086,0.026760776,0.031170234,0.0258097,0.02854678,0.0
