,A1,Gam1,t1,A2,Gam2,t2,Err
12-13,0.47201779784029074,3.9791607654579555,17.887403710041703,0.15572659573372466,7.75394294099376,22.024098404066468,0.015531341235742546
13-14,0.36166845087846583,5.552625125164705,18.78100925969623,0.052450806496433994,8.771272568603772,30.587758076640416,0.01676055001009559
14-15,0.8288996885437595,3.5766669902438437,17.431222819401814,0.14861770456142662,9.442556558474545,23.499616063462163,0.022717287313728383
15-16,-1.4072511752931757e-18,7.183673068673514,17.75773239888718,0.37912341669808375,6.003819483951238,27.37186596526548,0.013255692878289546
16-17,0.2815853009638903,2.6877432799191077,18.169020296123342,0.45831747912540854,8.319398754577403,24.377557831275606,0.03207131237216544
17-18,0.7590399916894767,3.2255535349838023,18.15313067900497,0.6743477734572841,7.378575944886668,22.32919885497481,0.04020902596945382
18-19,0.23439314949394277,3.6958304289563384,17.7225814877401,0.5403989962008298,7.418771747242794,26.88489236041814,0.027740431411712972
19-20,0.39459548871681044,3.3046941646224313,17.865756845762185,0.5611971949830359,6.48901016741024,23.621702170891023,0.031067444700111458
22-23,0.8320512201344981,5.654586497154263,13.658386832489816,-2.3639696134558594e-17,19.66913211678753,25.252525147348713,0.03648249098537422
23-24,0.7900624217895932,3.761518783477755,17.031713929001402,0.31906300847965874,10.34947394942629,24.317538032629358,0.019482377513560793
24-25,0.7449958078955933,1.9097598379630216,17.718450938591907,1.4118098892682736,5.986855136290734,22.629100496180598,0.03740415826461799
