starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_23-24.pth
Train loss: 3.8385031016099838 Val loss: 0.44677684769037157 Time: 0.733578499999993
Train loss: 3.812754668758378 Val loss: 0.44401811495900445 Time: 0.9009901999999954
Train loss: 3.8218386293391613 Val loss: 0.43877805488971244 Time: 0.7670521000000008
Train loss: 3.488577071827006 Val loss: 0.4113595511179219 Time: 0.8730037999999922
Train loss: 3.5566412146043067 Val loss: 0.4148624078665441 Time: 0.8334401999999983
Train loss: 3.5151446748746302 Val loss: 0.40826880995915 Time: 0.8690889999999882
Train loss: 3.4339465897775456 Val loss: 0.4046153292299887 Time: 0.8822846999999996
Train loss: 3.2718816478069925 Val loss: 0.3876636114101284 Time: 0.8697262999999964
Train loss: 3.44252310938324 Val loss: 0.4011435877460948 Time: 0.9569467000000031
Train loss: 3.3796533243451465 Val loss: 0.3897019675028967 Time: 0.8950796999999966
Train loss: 3.0633760820431277 Val loss: 0.37737872501018493 Time: 1.0975899999999967
Train loss: 3.1921630560521654 Val loss: 0.37218489904189467 Time: 0.941439299999999
Train loss: 3.0844428929289087 Val loss: 0.37223554691279576 Time: 1.7394146999999975
Train loss: 3.2567491346654545 Val loss: 0.3719085128209248 Time: 2.2914663000000104
Train loss: 3.032978586707111 Val loss: 0.35772959096407314 Time: 1.5734642000000036
Train loss: 3.170751641957196 Val loss: 0.36092743518397197 Time: 1.4352403999999979
Train loss: 2.966261040727333 Val loss: 0.3401995162352057 Time: 1.1655363999999935
Train loss: 3.1822593295581925 Val loss: 0.3659676509933156 Time: 1.3626893999999936
Train loss: 3.0227826440880765 Val loss: 0.351133615530053 Time: 1.2792472999999944
Train loss: 3.1613230066411133 Val loss: 0.3573996991700332 Time: 1.360794900000002
Train loss: 2.910446192681377 Val loss: 0.33717547921943974 Time: 1.3700209
Train loss: 2.992244701380895 Val loss: 0.3389416275137196 Time: 1.530124200000003
Train loss: 2.801861677519864 Val loss: 0.326632979487226 Time: 1.3222564000000006
Train loss: 2.9165741818984907 Val loss: 0.3375748214999542 Time: 1.217851600000003
Train loss: 2.9500728656690995 Val loss: 0.3376879916923798 Time: 1.513506300000003
Train loss: 2.863335512873586 Val loss: 0.3149364133630934 Time: 1.1364892999999938
Train loss: 2.8187838131537672 Val loss: 0.3242462640919222 Time: 1.3602312000000012
Train loss: 2.7730792996633418 Val loss: 0.31329703512317125 Time: 1.282821300000009
Train loss: 2.6235625551289896 Val loss: 0.31422692291697724 Time: 1.2555883999999935
Train loss: 2.694392875393043 Val loss: 0.3029804924378076 Time: 1.3130578999999898
Train loss: 2.681814784078411 Val loss: 0.3115022640614057 Time: 1.2313330000000065
Train loss: 2.6780472275857097 Val loss: 0.318732582886811 Time: 1.3469507000000078
Train loss: 2.579150415735377 Val loss: 0.2975880935354089 Time: 1.2652803000000006
Train loss: 2.75482964226965 Val loss: 0.3096823558892979 Time: 1.4039160999999893
Train loss: 2.47883135903216 Val loss: 0.28757345311499943 Time: 1.1606994999999927
Train loss: 2.598103641451405 Val loss: 0.29788866386176155 Time: 1.6115278999999987
Train loss: 2.5644650328494354 Val loss: 0.30560185487463165 Time: 1.283331099999998
Train loss: 2.5179632948118575 Val loss: 0.29299086453796463 Time: 1.217705499999994
Train loss: 2.5016650623322647 Val loss: 0.29383489640260846 Time: 1.286128099999999
Train loss: 2.434057893969073 Val loss: 0.26879902845503384 Time: 1.311717200000004
Train loss: 2.361694480292518 Val loss: 0.28197517233266434 Time: 1.1628129000000058
Train loss: 2.4642728947566344 Val loss: 0.2880745853054361 Time: 1.2892792999999898
Train loss: 2.364298660963171 Val loss: 0.2687689779982398 Time: 1.3389997999999963
Train loss: 2.4581919840911177 Val loss: 0.29362827561899524 Time: 1.1922734000000048
Train loss: 2.286272711387227 Val loss: 0.26289833570513466 Time: 1.4750403999999975
Train loss: 2.2459377810233434 Val loss: 0.24277046417744166 Time: 1.4064391999999941
Train loss: 2.1844575720648622 Val loss: 0.25069806550417345 Time: 1.1765394999999899
Train loss: 2.387557152257557 Val loss: 0.2800664995695426 Time: 1.5383101999999838
Train loss: 2.2169667055525935 Val loss: 0.26709456345298976 Time: 1.2905687999999884
Train loss: 1.9912212524280508 Val loss: 0.2314232896260286 Time: 1.4044556999999998
Train loss: 2.248476385285664 Val loss: 0.2635758869843297 Time: 1.4179249000000027
Train loss: 2.1818795205576986 Val loss: 0.2500158874596235 Time: 1.2009903000000008
Train loss: 2.272945798679242 Val loss: 0.2502494700822033 Time: 1.3655417999999884
Train loss: 2.163004353928841 Val loss: 0.2525940770935668 Time: 1.3103543999999943
Train loss: 2.247119486298473 Val loss: 0.276312131513701 Time: 1.4301140999999973
Train loss: 2.239100421507004 Val loss: 0.27393930383176396 Time: 1.1972692999999879
Train loss: 2.1591255334110127 Val loss: 0.24615887631529423 Time: 1.351027700000003
