starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_23-24.pth
Train loss: 2.6443348118833114 Val loss: 0.00017273426055908203 Time: 1.6587345999996614
Train loss: 2.3404064426778524 Val loss: 0.03879892826080322 Time: 2.050057800000104
Train loss: 2.2551052134612277 Val loss: 0.013001859188079834 Time: 2.1165750000000116
Train loss: 2.636383677030615 Val loss: 0.035768866539001465 Time: 2.1398885000007795
Train loss: 2.3188602086822625 Val loss: 0.03515559434890747 Time: 2.106086000000687
Train loss: 2.270689759541254 Val loss: 0.03398418426513672 Time: 1.931986899999174
Train loss: 2.4544325798943203 Val loss: 0.009639978408813477 Time: 1.620682400000078
Train loss: 2.348846413585798 Val loss: 0.04230087995529175 Time: 1.9986532000002626
Train loss: 2.3847738831108387 Val loss: 0.03562271595001221 Time: 2.3557981000003565
Train loss: 2.5252709580464057 Val loss: 0.037811279296875 Time: 2.0001798000002964
Train loss: 2.408477971716632 Val loss: 0.030558347702026367 Time: 1.9556870999995226
Train loss: 2.167464881742987 Val loss: 0.03618800640106201 Time: 1.738564000000224
Train loss: 2.259676182053738 Val loss: 0.017416059970855713 Time: 1.885464800000591
Train loss: 2.2870966181836216 Val loss: 0.03297382593154907 Time: 1.8013262000004033
Train loss: 2.000629033851471 Val loss: 0.0016480684280395508 Time: 2.002693200000067
Train loss: 2.089165859950299 Val loss: 0.03196120262145996 Time: 1.5788267999996606
Train loss: 2.1982363848007376 Val loss: 0.016424834728240967 Time: 2.223442900000009
Train loss: 2.0541106054361844 Val loss: 0.02911078929901123 Time: 1.912853200000427
Train loss: 2.1167313206377654 Val loss: 0.08353757858276367 Time: 2.010885199999393
Train loss: 2.2733436529579194 Val loss: 0.006490647792816162 Time: 2.1887594999998328
Train loss: 1.9812454538768094 Val loss: 0.02957695722579956 Time: 2.2801722999993217
Train loss: 2.2466068596986126 Val loss: 0.02425318956375122 Time: 1.9392773999998099
Train loss: 2.190890736697303 Val loss: 0.015633821487426758 Time: 1.769390999999814
Train loss: 2.0635074611342574 Val loss: 0.00365293025970459 Time: 1.907288499999595
Train loss: 2.334702684232866 Val loss: 0.015291273593902588 Time: 2.059514699999454
Train loss: 2.2496648987486765 Val loss: 0.037320613861083984 Time: 1.938868399999592
Train loss: 1.9132052280395477 Val loss: 0.008652448654174805 Time: 1.8366126000000804
Train loss: 1.9766624672429454 Val loss: 0.02583014965057373 Time: 1.7891839000003529
Train loss: 1.8408546591731412 Val loss: 0.031169533729553223 Time: 1.923521200000323
Train loss: 2.0474284865648897 Val loss: 0.011745095252990723 Time: 1.955402900000081
Train loss: 1.9930707452039513 Val loss: 0.02134561538696289 Time: 1.8923574000000372
Train loss: 1.9161807443012577 Val loss: 0.05453735589981079 Time: 1.7892956999994567
Train loss: 1.8088457753716156 Val loss: 0.04441559314727783 Time: 2.0012574000002132
Train loss: 1.9377059910731314 Val loss: 0.008435249328613281 Time: 1.7177816000003077
Train loss: 1.9438318646991313 Val loss: 0.05484074354171753 Time: 1.8621325999993132
Train loss: 1.8031084440593332 Val loss: 0.025937318801879883 Time: 1.9070480999998836
Train loss: 2.1132340768030247 Val loss: 0.011225879192352295 Time: 1.8878520999996908
Train loss: 1.6423193114310948 Val loss: 0.005547881126403809 Time: 1.8182832000002236
Train loss: 1.7216548470294413 Val loss: 0.0509495735168457 Time: 1.8981681000004755
Train loss: 1.7006278958098875 Val loss: 0.03926849365234375 Time: 1.928620900000169
Train loss: 1.904951644270028 Val loss: 0.02546525001525879 Time: 1.8915374000007432
Train loss: 1.7174179173592015 Val loss: 0.009355783462524414 Time: 1.776608699999997
Train loss: 1.678219495431449 Val loss: 0.04460251331329346 Time: 1.7250705000005837
Train loss: 1.666239937952714 Val loss: 0.034848153591156006 Time: 1.9641817000001538
Train loss: 1.668366594881029 Val loss: 0.024315714836120605 Time: 1.85170509999989
Train loss: 1.7695288717908166 Val loss: 0.012504220008850098 Time: 1.5826923999993596
Train loss: 1.4975380431164789 Val loss: 0.057504475116729736 Time: 1.9138619000004837
Train loss: 1.7392680562353675 Val loss: 0.0241013765335083 Time: 2.247713300000214
Train loss: 1.6974002812655193 Val loss: 0.003582477569580078 Time: 2.2606597999993028
