starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_23-24.pth
Train loss: 16.801842614383595 Val loss: 0.8209628462791443 Time: 1.32597480000004
Train loss: 16.658870925059006 Val loss: 0.8173232078552246 Time: 1.9208794000005582
Train loss: 16.617429807414865 Val loss: 0.810716986656189 Time: 1.7878953999997975
Train loss: 16.23368805707541 Val loss: 0.7996925115585327 Time: 1.7344074000002365
Train loss: 15.290003842522786 Val loss: 0.7501994371414185 Time: 1.663286099999823
Train loss: 12.545187399456921 Val loss: 0.6306037306785583 Time: 1.757389699999294
Train loss: 9.499231397340033 Val loss: 0.5146971940994263 Time: 1.6099882999997135
Train loss: 8.553348627339243 Val loss: 0.4655129015445709 Time: 1.7726001000000906
Train loss: 8.202152088923372 Val loss: 0.44424164295196533 Time: 1.9176063000004433
Train loss: 8.175817732271014 Val loss: 0.43244898319244385 Time: 2.002084100000502
Train loss: 8.065763863075498 Val loss: 0.42220914363861084 Time: 2.046162099999492
Train loss: 7.7220281838291385 Val loss: 0.41101956367492676 Time: 1.6469297999992705
Train loss: 7.815439266362734 Val loss: 0.40934669971466064 Time: 1.725061099999948
Train loss: 7.859584655101586 Val loss: 0.4033166170120239 Time: 1.560645200000181
Train loss: 7.790708477578775 Val loss: 0.40043073892593384 Time: 1.7364639999996143
Train loss: 7.586219009060198 Val loss: 0.3932761549949646 Time: 1.9814532000000327
Train loss: 7.444170045120614 Val loss: 0.38930416107177734 Time: 2.0588893000003736
Train loss: 7.465062139219934 Val loss: 0.38340723514556885 Time: 1.7764403999999558
Train loss: 7.2403141243056615 Val loss: 0.37865179777145386 Time: 1.5528701000002911
Train loss: 7.069480416470881 Val loss: 0.37566566467285156 Time: 2.0320374999992055
Train loss: 7.049021992826454 Val loss: 0.3669505715370178 Time: 1.861243100000138
Train loss: 6.9466014755990955 Val loss: 0.36234980821609497 Time: 1.375415299999986
Train loss: 6.770771097095462 Val loss: 0.35722798109054565 Time: 1.8801457999998092
Train loss: 6.828818338480517 Val loss: 0.35469233989715576 Time: 1.702889299999697
Train loss: 6.808168234776417 Val loss: 0.3529946804046631 Time: 1.5436620999998922
Train loss: 6.529876837355896 Val loss: 0.3420461416244507 Time: 1.70531420000043
Train loss: 6.5622741638088655 Val loss: 0.33617258071899414 Time: 1.551581200000328
Train loss: 6.252089219021968 Val loss: 0.3310621380805969 Time: 1.6171186999999918
Train loss: 6.305053826836655 Val loss: 0.3285284638404846 Time: 1.467126599999574
Train loss: 6.422890728625568 Val loss: 0.3302652835845947 Time: 1.795089299999745
Train loss: 6.0837254899439985 Val loss: 0.32229042053222656 Time: 1.5860406000001603
Train loss: 6.188315050140544 Val loss: 0.3253822326660156 Time: 1.6445801999998366
Train loss: 6.102413970009934 Val loss: 0.313945472240448 Time: 1.5631179000001794
Train loss: 5.92962583376986 Val loss: 0.3063676953315735 Time: 1.645976800000426
Train loss: 5.752888802746472 Val loss: 0.30270999670028687 Time: 1.6834312999999383
Train loss: 5.8310295026617425 Val loss: 0.3020772337913513 Time: 1.3405389999998079
Train loss: 5.706757112258316 Val loss: 0.28818845748901367 Time: 1.8100105999992593
Train loss: 5.490910054061061 Val loss: 0.28864985704421997 Time: 1.7258987999994133
Train loss: 5.507249461002328 Val loss: 0.2831854224205017 Time: 1.3611086000000796
Train loss: 5.190231834725751 Val loss: 0.2784399390220642 Time: 1.694434099999853
Train loss: 5.396031389991052 Val loss: 0.28807008266448975 Time: 1.6418853000004674
Train loss: 5.452685574791804 Val loss: 0.2669145464897156 Time: 1.4529512999997678
Train loss: 5.177811356185394 Val loss: 0.26925694942474365 Time: 1.8121750000000247
Train loss: 5.222673120418705 Val loss: 0.26666003465652466 Time: 1.4970727999998417
Train loss: 5.2291021307967185 Val loss: 0.26738232374191284 Time: 1.5470700000005309
Train loss: 5.017332559835722 Val loss: 0.2655180096626282 Time: 1.593018900000061
Train loss: 5.016016181985499 Val loss: 0.2515397071838379 Time: 1.524907400000302
Train loss: 5.021985472396665 Val loss: 0.25100260972976685 Time: 1.5710443999996642
Train loss: 4.978389925425089 Val loss: 0.2503536343574524 Time: 1.8011235999993005
Train loss: 4.696097911606991 Val loss: 0.2369663119316101 Time: 1.6263275000001158
Train loss: 4.531724588565453 Val loss: 0.23592841625213623 Time: 1.6439672000005885
Train loss: 4.5460476109318275 Val loss: 0.23705708980560303 Time: 1.5370251000003918
Train loss: 4.327126785550037 Val loss: 0.21889567375183105 Time: 1.6233001999999033
Train loss: 4.542217008604223 Val loss: 0.2282254695892334 Time: 1.6689715000002252
Train loss: 4.469511222372702 Val loss: 0.23394256830215454 Time: 1.5434889999996813
Train loss: 4.208007584917624 Val loss: 0.22063255310058594 Time: 1.4801274999999805
Train loss: 4.178750708351386 Val loss: 0.21140944957733154 Time: 1.806361900000411
Train loss: 4.2807408642349145 Val loss: 0.22850537300109863 Time: 1.7104325999998764
Train loss: 4.277144500863292 Val loss: 0.22111332416534424 Time: 1.5407516999994186
Train loss: 4.100154799439288 Val loss: 0.20582348108291626 Time: 1.6277486999997564
Train loss: 4.079442820673179 Val loss: 0.2044895887374878 Time: 1.6251044000000547
Train loss: 4.066793684955584 Val loss: 0.2028738260269165 Time: 1.848631099999693
Train loss: 4.009086707238814 Val loss: 0.20271432399749756 Time: 1.666337999999996
Train loss: 3.9028071853598476 Val loss: 0.1904226541519165 Time: 1.6297663999994256
Train loss: 3.7648951343378676 Val loss: 0.1830546259880066 Time: 1.6799189000003025
