starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_B_23-24.pth
Train loss: 2.915884279956728 Val loss: 0.31140371334073025 Time: 2.997283199976664
Train loss: 2.6788860198101085 Val loss: 0.29102085659084664 Time: 2.027409500005888
Train loss: 2.6009014511584247 Val loss: 0.27777912375459973 Time: 1.8608672000118531
Train loss: 2.509164464187073 Val loss: 0.2702685824833834 Time: 1.5094322999939322
Train loss: 2.6907640395135424 Val loss: 0.2916181577321686 Time: 1.039273200003663
Train loss: 2.565654463458145 Val loss: 0.2795799530710711 Time: 1.1081763000111096
Train loss: 2.500594023272356 Val loss: 0.26621258627924327 Time: 1.3048673000012059
Train loss: 2.500970279572414 Val loss: 0.27145524965668366 Time: 1.112252199993236
Train loss: 2.392033731280776 Val loss: 0.2593302957445176 Time: 1.5034591000003275
Train loss: 2.4282293091275857 Val loss: 0.25898321920556167 Time: 1.0620189000037499
Train loss: 2.4355486653703338 Val loss: 0.2575408659084788 Time: 1.3516691000259016
Train loss: 2.3271379481834558 Val loss: 0.25189084225240266 Time: 1.4888200999994297
Train loss: 2.338259274281155 Val loss: 0.250009838805319 Time: 1.4397834000119474
Train loss: 2.415350500216647 Val loss: 0.25284232071564106 Time: 0.8573017000162508
Train loss: 2.1513445578311376 Val loss: 0.22664378175292282 Time: 0.7603867000143509
Train loss: 2.243403681987747 Val loss: 0.23340578140112822 Time: 1.0464240000001155
Train loss: 2.207935828076785 Val loss: 0.23236099386849096 Time: 0.8585186999989673
Train loss: 2.304852367622395 Val loss: 0.238373884370936 Time: 0.8800974999903701
Train loss: 2.35213523713594 Val loss: 0.2470799852653924 Time: 0.8355316999950446
Train loss: 2.1830008992536847 Val loss: 0.22624173891677765 Time: 0.8182987999753095
Train loss: 2.2086124346352065 Val loss: 0.23251016994969786 Time: 1.0436587000149302
Train loss: 2.1924986645468394 Val loss: 0.23005572542067895 Time: 0.8967752999742515
Train loss: 2.277624490645991 Val loss: 0.23873829455435402 Time: 0.9058979999972507
Train loss: 2.1322042027348402 Val loss: 0.223140667895427 Time: 1.6727776000043377
Train loss: 2.0634305438128138 Val loss: 0.21496792636527376 Time: 0.8604662999860011
Train loss: 2.0130778987262374 Val loss: 0.20720758870305686 Time: 1.051768200006336
Train loss: 2.0681760902875794 Val loss: 0.21683668924317345 Time: 0.8629388000117615
Train loss: 2.021415037548782 Val loss: 0.21043540581404216 Time: 0.8103550999949221
Train loss: 1.8761318357685752 Val loss: 0.1899780211626983 Time: 0.9002397999865934
Train loss: 2.0064873777614594 Val loss: 0.20747161567373193 Time: 1.015606500004651
Train loss: 2.2675866140439247 Val loss: 0.23972415788571427 Time: 0.9180365999927744
Train loss: 2.011335665586518 Val loss: 0.2038997069019883 Time: 0.7958046999992803
Train loss: 1.9761047311322812 Val loss: 0.20255652546196068 Time: 1.0433266999898478
Train loss: 1.986058025238151 Val loss: 0.20672794750310225 Time: 0.8584919999993872
Train loss: 1.8684862011455152 Val loss: 0.19239112036935 Time: 1.1791067000012845
Train loss: 1.8378239385209838 Val loss: 0.18546266690842253 Time: 1.5874532000161707
Train loss: 1.960009246524688 Val loss: 0.20166325687327022 Time: 2.018923600000562
Train loss: 2.049381948678217 Val loss: 0.21145779005582535 Time: 2.215485000022454
Train loss: 2.0413815138679325 Val loss: 0.20692368031750558 Time: 2.274326899991138
Train loss: 1.8809968765887106 Val loss: 0.19342594796331103 Time: 1.3042164999933448
Train loss: 1.7823352157312309 Val loss: 0.18307413698328262 Time: 1.6807946999906562
Train loss: 1.8266170906458221 Val loss: 0.19053128467546848 Time: 0.906094200006919
Train loss: 1.9252397849748535 Val loss: 0.19669078083867628 Time: 0.906252399989171
Train loss: 1.743159776372977 Val loss: 0.1801269644153496 Time: 0.954338799987454
Train loss: 1.8713258716920054 Val loss: 0.19129255873171666 Time: 0.9443068999971729
Train loss: 1.879194485041026 Val loss: 0.19262206537272616 Time: 0.79215719999047
Train loss: 1.817507703552593 Val loss: 0.1846624728140359 Time: 0.9524223000044003
Train loss: 1.8423005988993817 Val loss: 0.1856827036140016 Time: 0.8966567000024952
Train loss: 1.7761872639494527 Val loss: 0.1821541413191591 Time: 0.9220368000096641
Train loss: 1.885968237430312 Val loss: 0.18878373680660576 Time: 3.5090176000085194
Train loss: 1.8420688138758692 Val loss: 0.18488443974961244 Time: 5.067354999977397
Train loss: 1.9702667022174012 Val loss: 0.19754741159794625 Time: 4.3372681999753695
Train loss: 1.7913881620415282 Val loss: 0.18000976255875326 Time: 4.099979200022062
Shrinking learning rate to 1e-05
Train loss: 1.798773800322202 Val loss: 0.18201269287374455 Time: 2.7894489000027534
Train loss: 1.9028915260215413 Val loss: 0.19132479776486533 Time: 2.144305699999677
Train loss: 1.650044814034004 Val loss: 0.1658446229114385 Time: 1.755362600000808
Train loss: 1.6362340459034215 Val loss: 0.16397105536630902 Time: 2.0557622000051197
Train loss: 1.625663953571605 Val loss: 0.16263789629193254 Time: 2.03048879999551
Train loss: 1.8320534641078723 Val loss: 0.183268994720432 Time: 1.9131287999916822
Train loss: 1.7859279114816227 Val loss: 0.1786776910160567 Time: 1.8480150999967009
Train loss: 1.7068731522691678 Val loss: 0.17071720170004287 Time: 2.5840754999953788
Train loss: 1.6751448399157365 Val loss: 0.16752528405560177 Time: 1.8811522999894805
Train loss: 1.6892065188100105 Val loss: 0.16893838949571136 Time: 16.355157299985876
Train loss: 1.7337752140416507 Val loss: 0.17337831897448103 Time: 3.079629699990619
Train loss: 1.7527059377298917 Val loss: 0.1752759564725828 Time: 1.5989300000073854
Train loss: 1.7894039778897195 Val loss: 0.17901352893450995 Time: 1.4957335999934003
Train loss: 1.699460102353605 Val loss: 0.17004062160678118 Time: 1.2360707000188995
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.7065656568432543 Val loss: 0.17071083081203825 Time: 1.5366672000091057
Train loss: 1.71113536463431 Val loss: 0.17115240643344173 Time: 0.7381844999908935
Train loss: 1.613566277583132 Val loss: 0.1613929812934473 Time: 0.8030275999917649
Train loss: 1.802550021359747 Val loss: 0.18029096074338496 Time: 0.9640697999857366
Train loss: 1.788567466920881 Val loss: 0.17888970962511277 Time: 1.0346549000241794
Train loss: 1.5552272404924352 Val loss: 0.155551589805352 Time: 0.9058311000117101
Train loss: 1.662492753102697 Val loss: 0.16626831314029022 Time: 0.8762831999920309
Train loss: 1.691044284572854 Val loss: 0.1691255910984303 Time: 0.8301869000133593
Train loss: 1.7063069065084506 Val loss: 0.17065339823433184 Time: 0.7693546999944374
Train loss: 1.6832003837215588 Val loss: 0.16834073317903225 Time: 0.7125302999920677
Train loss: 1.6908766287283044 Val loss: 0.16910701068747092 Time: 0.8059406000247691
Train loss: 1.7591983408948408 Val loss: 0.17593094354146097 Time: 1.1750684999860823
Train loss: 1.7790995747678693 Val loss: 0.17791681116232333 Time: 1.208041100006085
Train loss: 1.6880057577723164 Val loss: 0.16880698237072247 Time: 1.0402883999922778
Train loss: 1.7225643406412525 Val loss: 0.17226044912294677 Time: 1.7310227999987546
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 451.562889599998
