starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_2lin_B_23-24.pth
Train loss: 3.047480698204243 Val loss: 0.3505052936731722 Time: 1.9096847000182606
Train loss: 3.132502827811348 Val loss: 0.38950517047466776 Time: 1.514449299982516
Train loss: 2.648080049400921 Val loss: 0.3009185379765138 Time: 2.0647315999958664
Train loss: 2.639793593439382 Val loss: 0.33311917282558046 Time: 2.1035350000020117
Train loss: 2.634196345310965 Val loss: 0.37892172591552503 Time: 1.3941614000068512
Train loss: 2.637197593523261 Val loss: 0.3270127909588799 Time: 2.1342670999874827
Train loss: 2.4250342350771987 Val loss: 0.3190893798826688 Time: 1.9152578000212088
Train loss: 2.5504473828133145 Val loss: 0.32419144371243286 Time: 1.3021310000040103
Train loss: 2.6779022835143635 Val loss: 0.2723307097219413 Time: 2.177553799992893
Train loss: 2.6994683272188746 Val loss: 0.31623423016860946 Time: 4.065865000011399
Train loss: 2.427787896472449 Val loss: 0.2623582315216306 Time: 4.712094899994554
Train loss: 2.310838194452213 Val loss: 0.2989276178523231 Time: 2.703163800004404
Train loss: 2.527125709781361 Val loss: 0.3493100254478411 Time: 2.8493746999884024
Train loss: 2.4659812188186923 Val loss: 0.30456109107628165 Time: 2.4468326000205707
Train loss: 2.33233253515108 Val loss: 0.256556230965932 Time: 2.832083999994211
Train loss: 2.5602974306536153 Val loss: 0.28575594904651913 Time: 2.4532621999969706
Train loss: 2.396333262871654 Val loss: 0.33386421234886393 Time: 2.7177577999827918
Train loss: 2.1799914613933584 Val loss: 0.24915781576109122 Time: 2.1953806999954395
Train loss: 2.4088081056941935 Val loss: 0.2979363521603005 Time: 2.5176546000002418
Train loss: 2.2024962319963626 Val loss: 0.24484357110135618 Time: 3.2325809999892954
Train loss: 2.4435814126517705 Val loss: 0.32028898277953466 Time: 2.0594312000030186
Train loss: 2.222032727164341 Val loss: 0.2672558408973981 Time: 2.591995000024326
Train loss: 2.262224682374984 Val loss: 0.25094703601077223 Time: 2.0242336000083014
Train loss: 2.247521398290176 Val loss: 0.2833455307101084 Time: 2.1488901000120677
Train loss: 2.1729851078940143 Val loss: 0.2366245396915343 Time: 3.3787496000004467
Train loss: 1.9698916325229714 Val loss: 0.25826370192885956 Time: 1.543172700010473
Train loss: 2.2283623050333987 Val loss: 0.27665940131702843 Time: 1.632870000001276
Train loss: 2.177751049538797 Val loss: 0.3302669076751666 Time: 1.314730399986729
Train loss: 2.0903991775997337 Val loss: 0.2732634454064015 Time: 1.7844964000105392
Train loss: 2.068849009018659 Val loss: 0.30470161312809424 Time: 2.260478600015631
Train loss: 2.1233307061627444 Val loss: 0.28873509767874195 Time: 2.83697880001273
Train loss: 1.8244693916730785 Val loss: 0.22206534797421396 Time: 1.9984428999887314
Train loss: 1.860780284594746 Val loss: 0.24984353996763778 Time: 2.0417116000026
Train loss: 1.8577400883608302 Val loss: 0.24413670538242777 Time: 1.9351203999831341
Train loss: 2.1376902459410005 Val loss: 0.26077293882758124 Time: 2.0545973000116646
Train loss: 2.065545751499412 Val loss: 0.33115750915611114 Time: 1.466316799982451
Train loss: 1.9998626224834406 Val loss: 0.26573291323940007 Time: 1.3889113999903202
Train loss: 2.0028236982017926 Val loss: 0.27165397999986174 Time: 1.5814269999973476
Train loss: 1.9529872348685213 Val loss: 0.314128258013895 Time: 1.3315003000025172
Train loss: 1.8672196073461467 Val loss: 0.22579181655871564 Time: 1.7035397999861743
Train loss: 2.0403902672449004 Val loss: 0.25882699149808575 Time: 2.1679686999996193
Shrinking learning rate to 1e-05
Train loss: 1.9394525438930208 Val loss: 0.2287641079628918 Time: 2.689777400024468
Train loss: 1.980237205164772 Val loss: 0.2323069609997326 Time: 1.5491687000030652
Train loss: 1.8606807110535601 Val loss: 0.2321020379053604 Time: 1.4052392000157852
Train loss: 1.7891289873963347 Val loss: 0.23010405941471562 Time: 1.696427799994126
Train loss: 1.9619020516734096 Val loss: 0.25106934498006966 Time: 1.8340828999935184
Train loss: 1.6732810305284609 Val loss: 0.233441411753364 Time: 1.489473800000269
Train loss: 1.9158165805965304 Val loss: 0.24037715299523246 Time: 1.9569217000098433
Train loss: 1.9056697581210966 Val loss: 0.23813762481408177 Time: 1.5700149000040255
Train loss: 1.6721957960922111 Val loss: 0.22454037098719948 Time: 1.9425966999842785
Train loss: 1.7419358171223807 Val loss: 0.23265242859756974 Time: 1.488544499996351
Train loss: 1.9703852802136526 Val loss: 0.25373897050498195 Time: 1.610702100006165
Train loss: 1.8031336781084377 Val loss: 0.23981760041831227 Time: 1.3482824999955483
Train loss: 1.9665149632104193 Val loss: 0.25470082927003246 Time: 1.4382761000015307
Train loss: 1.9607606504192596 Val loss: 0.2545579799222707 Time: 1.4223815000150353
Train loss: 1.5871055176459077 Val loss: 0.23305609337079075 Time: 1.7152594000217505
Train loss: 1.8526403064257266 Val loss: 0.24492631899799266 Time: 2.0722826000128407
Train loss: 1.7004222178842348 Val loss: 0.23297309738911906 Time: 1.6915159999916796
Train loss: 1.7163657199706535 Val loss: 0.2351659412341859 Time: 1.6088211000023875
Train loss: 1.81564944224237 Val loss: 0.24609504289005307 Time: 1.3318509999953676
Train loss: 1.6608582686569076 Val loss: 0.2390866148394914 Time: 1.472533599997405
