starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_22-23.pth
Train loss: 4.206305189272303 Val loss: 0.8683239003698873 Time: 0.8766974000027403
Train loss: 3.889753677942451 Val loss: 0.8295889401897654 Time: 0.8603741999977501
Train loss: 3.5784112659827487 Val loss: 0.8404238366056234 Time: 0.8620337000029394
Train loss: 3.7025891960651753 Val loss: 0.8067426990164677 Time: 0.8827451999968616
Train loss: 3.623201005923301 Val loss: 0.8035404106485657 Time: 0.8890246999944793
Train loss: 3.6765092270935655 Val loss: 0.8013398093753494 Time: 0.8725800000102026
Train loss: 3.4338818015342953 Val loss: 0.8066804059199058 Time: 0.8807266000076197
Train loss: 3.208277288910936 Val loss: 0.8483128264779225 Time: 0.8478485999949044
Train loss: 3.220770508157088 Val loss: 0.8224502411321737 Time: 0.8786983000027249
Train loss: 3.0969515024445036 Val loss: 0.8118743855156936 Time: 0.8832825999998022
Train loss: 3.236659333720727 Val loss: 0.8527522482327186 Time: 0.8777090999938082
Train loss: 2.9198345769082055 Val loss: 0.8269822057918645 Time: 0.8857787000015378
Train loss: 2.9248563279159825 Val loss: 0.8699125825078227 Time: 0.8835657000017818
Train loss: 2.977923582022541 Val loss: 0.8902819055365399 Time: 0.909811899997294
Train loss: 2.9022779653180493 Val loss: 0.9756958872894756 Time: 0.900958600002923
Train loss: 2.521329589890203 Val loss: 1.0125357487704605 Time: 0.9034001000109129
Train loss: 2.7086106999300563 Val loss: 0.9554852888686582 Time: 0.8997071000048891
Train loss: 2.5944470012709395 Val loss: 0.9051839160965756 Time: 0.8778323000005912
Train loss: 2.7102395089059117 Val loss: 1.0608204754535109 Time: 0.8629995999945095
Train loss: 2.5403649400300665 Val loss: 0.8289721125620417 Time: 0.858134499998414
Train loss: 2.445614281102295 Val loss: 1.1861657513072714 Time: 0.9061595000093803
Train loss: 2.592313488154197 Val loss: 1.0552479838952422 Time: 0.8917724000057206
Train loss: 2.599602999206365 Val loss: 1.0206516554462723 Time: 0.8779595000087284
Train loss: 2.306802202225354 Val loss: 1.1382979879854247 Time: 0.8740910999913467
Train loss: 2.480221941773965 Val loss: 1.2115970165468752 Time: 0.8631320999993477
Train loss: 2.3232294374377562 Val loss: 1.24444600881543 Time: 0.8852647000021534
Train loss: 2.4989623851284684 Val loss: 1.3647156685765367 Time: 0.8756911999953445
Train loss: 2.3847972262420454 Val loss: 1.2858306207926944 Time: 0.890420499999891
Train loss: 2.116105563755312 Val loss: 1.441271384304855 Time: 0.906533599991235
Train loss: 2.4238885716934657 Val loss: 1.3196187568828464 Time: 0.8672206000046572
Train loss: 2.447030194230177 Val loss: 1.4271453574710904 Time: 0.8541341000091052
Train loss: 2.2570780267608654 Val loss: 1.339205692143878 Time: 0.9106984999962151
Train loss: 2.268361548592611 Val loss: 1.290154870664992 Time: 0.8651151999947615
Train loss: 2.2756640065612013 Val loss: 1.3781520158452167 Time: 0.877888900009566
Train loss: 2.093640720845208 Val loss: 1.5663557469379157 Time: 0.8972459000069648
Train loss: 2.2597822613457583 Val loss: 1.6976487162755802 Time: 0.8936279000045033
Train loss: 2.2338453709998434 Val loss: 1.4979724734876072 Time: 0.8929611999919871
Train loss: 2.145525903591804 Val loss: 1.3905121740172035 Time: 0.891415699996287
Train loss: 2.1697487950346925 Val loss: 1.5547681127791293 Time: 0.8896138999989489
Train loss: 2.0531786914800625 Val loss: 1.567925080889836 Time: 0.8619236999948043
Train loss: 2.0105765447787327 Val loss: 1.3315808328485446 Time: 0.8858546999981627
Train loss: 2.018552657804264 Val loss: 1.271244718140224 Time: 0.9014664999995148
Train loss: 1.9580017656338953 Val loss: 1.338064161973307 Time: 0.8837250000069616
Train loss: 1.8496131864219572 Val loss: 1.3665086589899147 Time: 0.8594803000014508
Train loss: 1.952586417528325 Val loss: 1.347713262797214 Time: 0.9022661999915726
Train loss: 1.9527504621794378 Val loss: 1.478006648409064 Time: 0.874689500007662
Train loss: 1.9472949299119335 Val loss: 1.4251453199976822 Time: 0.8785134000063408
Train loss: 1.873317236586061 Val loss: 1.3989674935617131 Time: 0.9367972000036389
Train loss: 1.8188604252075322 Val loss: 1.3517542686797697 Time: 0.8851428999914788
Train loss: 1.9604976811838197 Val loss: 1.358258051634266 Time: 0.8929944999981672
Train loss: 1.8847251077168965 Val loss: 1.294789940818191 Time: 0.8691373999899952
Train loss: 1.7115805825816999 Val loss: 1.5338540565571748 Time: 0.9071474000083981
Train loss: 1.8513561796333633 Val loss: 1.3787620306829922 Time: 0.8634359999996377
Train loss: 1.8091513190971922 Val loss: 1.506360178696923 Time: 0.8818857000005664
Train loss: 1.787264840032094 Val loss: 1.5120591220329516 Time: 0.8636403999989852
Train loss: 1.7691429358247426 Val loss: 1.3032697386298082 Time: 0.8812175000057323
Train loss: 1.6818419650404124 Val loss: 1.126987326075323 Time: 0.881384699998307
Train loss: 1.6962635111424886 Val loss: 1.4190145216416568 Time: 0.8828732999972999
Train loss: 1.6970161125132677 Val loss: 1.2930990461318288 Time: 0.8845518000016455
Train loss: 1.5926609171275992 Val loss: 1.4815327695250744 Time: 0.9019242999929702
Train loss: 1.7936374510377675 Val loss: 1.2281960537075065 Time: 0.9003510000038659
Train loss: 1.6521761634685161 Val loss: 1.1569991200813092 Time: 0.9080688000103692
Train loss: 1.5929198412615229 Val loss: 1.1457352554425597 Time: 0.8935957000066992
Train loss: 1.5286724880833749 Val loss: 1.1958319855330046 Time: 0.8876060999900801
Train loss: 1.4067681884602337 Val loss: 1.3251162445376394 Time: 0.8747149999981048
Train loss: 1.4689191343438162 Val loss: 1.2356764946889598 Time: 0.901055099995574
Train loss: 1.4990442576072018 Val loss: 1.1471825023181736 Time: 0.8866929000068922
Train loss: 1.4620477854855451 Val loss: 1.145393108483404 Time: 0.9187832999887178
Train loss: 1.389513782380508 Val loss: 1.204825901735603 Time: 0.9230528000043705
Train loss: 1.4382194281606566 Val loss: 1.6232431357784662 Time: 0.878795299999183
Train loss: 1.6491938540320454 Val loss: 1.1540967175010337 Time: 0.9039063000091119
Train loss: 1.3794875460102887 Val loss: 0.9241711219074205 Time: 0.8990591000037966
Train loss: 1.4113280612749577 Val loss: 0.9168295426643454 Time: 0.9427959000022383
Train loss: 1.3584958441952324 Val loss: 1.2102542498181492 Time: 1.0303245999966748
Train loss: 1.4687444204099762 Val loss: 1.0934551314057899 Time: 1.0200751000083983
Train loss: 1.2828820229896678 Val loss: 1.0629403560596984 Time: 1.0865581999969436
Train loss: 1.3473886423295733 Val loss: 0.9703071046969853 Time: 1.0547084999998333
