starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_drop_22-23.pth
Train loss: 3.784421093422341 Val loss: 1.1205387731315568 Time: 0.8498696000024211
Train loss: 3.8792794256392016 Val loss: 1.1189117529283976 Time: 0.8635988000023644
Train loss: 3.4820056059225095 Val loss: 1.1487584524656995 Time: 0.9376730999938445
Train loss: 3.553011381845317 Val loss: 1.1240915815142216 Time: 0.9134450999990804
Train loss: 3.3436709600439336 Val loss: 1.1859962543676374 Time: 0.913568399992073
Train loss: 3.5017830619262433 Val loss: 1.1928875182347838 Time: 0.9934241000009933
Train loss: 3.3994381709700607 Val loss: 1.2089846721937647 Time: 0.8456299000099534
Train loss: 3.198784040501747 Val loss: 1.2122952477657236 Time: 0.8561287000047741
Train loss: 2.8981057902470475 Val loss: 1.3749451733310707 Time: 0.8502649000001838
Train loss: 2.822276033605102 Val loss: 1.427106968127191 Time: 0.8338137000100687
Train loss: 2.8629180875244122 Val loss: 1.4053935339325108 Time: 0.8210767999989912
Train loss: 3.102843082592778 Val loss: 1.3953403628547676 Time: 0.8492568999936339
Train loss: 2.851228405085131 Val loss: 1.567501557925425 Time: 0.8377169000013964
Train loss: 2.8131559092408147 Val loss: 1.5680169927873067 Time: 0.8375751999992644
Train loss: 2.5517449157779577 Val loss: 1.69943925851112 Time: 0.853197700009332
Train loss: 2.570586116320648 Val loss: 1.769288326286187 Time: 0.8450945999938995
Train loss: 2.6948769985256567 Val loss: 1.8910824991180561 Time: 0.8596319999924162
Train loss: 2.443259942909612 Val loss: 1.753018631177838 Time: 0.8475900000048568
Train loss: 2.679507542499116 Val loss: 1.845880729611963 Time: 0.8496320999984164
Train loss: 2.262714830826658 Val loss: 1.9882593846996315 Time: 0.8543866999971215
Train loss: 2.289220449608602 Val loss: 1.9439577768280287 Time: 0.8531833000015467
Train loss: 2.401438294957022 Val loss: 2.0004885041271336 Time: 0.8325378000008641
Train loss: 2.194596284239389 Val loss: 2.271876913597225 Time: 0.8511920000019018
Train loss: 2.3310918977893063 Val loss: 1.9565393481752835 Time: 0.8401857999997446
Train loss: 2.2457944436233888 Val loss: 2.0735244650859386 Time: 0.8994161000009626
Train loss: 2.4510079766096036 Val loss: 2.116175080067478 Time: 0.970864500006428
Train loss: 2.164757155071161 Val loss: 2.1153288172499742 Time: 0.9356755000044359
Train loss: 2.258418386156914 Val loss: 1.9724126486107707 Time: 0.8831810999981826
Train loss: 1.9805777085672043 Val loss: 2.484799945867053 Time: 0.8633394999924349
Train loss: 1.9891713184901105 Val loss: 2.31898856969201 Time: 0.8492153999977745
Train loss: 2.1937655041004835 Val loss: 2.0803356637479737 Time: 0.8324734999914654
Train loss: 1.8697300323102612 Val loss: 2.4191196363821064 Time: 0.8405477000051178
Train loss: 2.072784584597898 Val loss: 1.979755598353222 Time: 0.8460187000018777
Train loss: 1.9071502914288203 Val loss: 2.319853632363447 Time: 0.8499025000055553
Train loss: 1.7762386792202776 Val loss: 2.5899018546624575 Time: 0.860679399993387
Train loss: 1.964241018168102 Val loss: 1.9664472360091168 Time: 0.8833386999904178
Train loss: 1.7943764118252408 Val loss: 2.495715674405801 Time: 0.8659685000020545
Train loss: 1.8469528920617875 Val loss: 2.140053201650062 Time: 0.8922766000032425
Train loss: 1.850369831402469 Val loss: 2.2614751541977967 Time: 0.9441461999958847
Train loss: 1.5454774244362985 Val loss: 2.618803834193386 Time: 0.8484631000028457
Train loss: 1.7017665856076616 Val loss: 2.3718348782117573 Time: 0.8565873999905307
Train loss: 1.3618245169300423 Val loss: 2.3271363272942835 Time: 0.8505127999960678
Train loss: 1.627547092774097 Val loss: 2.7481644828803837 Time: 0.8831406999961473
Train loss: 1.4399654416823642 Val loss: 1.8630055703688413 Time: 0.8885027000069385
Train loss: 1.318296827046876 Val loss: 2.2054956941574346 Time: 0.8804931000049692
Train loss: 1.3877020785477328 Val loss: 1.7533497108961456 Time: 0.8476626000046963
Train loss: 1.3866139431646438 Val loss: 2.411306960944785 Time: 0.8522562999860384
Train loss: 1.3753459309939227 Val loss: 2.268042223608063 Time: 0.8709022999973968
Train loss: 1.3177986953158345 Val loss: 1.6162876457092352 Time: 0.9835505000082776
Train loss: 1.3688209665939413 Val loss: 2.3701521443435922 Time: 0.9638750000012806
Train loss: 1.380131268202653 Val loss: 2.1099932339857332 Time: 0.8688847000012174
Train loss: 1.359653545475792 Val loss: 2.2391520777746337 Time: 0.9596164999966277
Train loss: 1.1286876783591344 Val loss: 2.0401895727409283 Time: 0.8636591999966186
Train loss: 1.2150042839336328 Val loss: 1.7526643949386198 Time: 0.8641575000074226
Train loss: 1.2319982315817821 Val loss: 3.0792861906375038 Time: 0.8901843000057852
Train loss: 1.2298426538860001 Val loss: 2.228414574288763 Time: 0.8282408000086434
Train loss: 1.0773322897582447 Val loss: 2.4834475818206556 Time: 0.9696633999992628
Train loss: 1.0703828167950042 Val loss: 1.9681360308313742 Time: 0.8877384000079473
Train loss: 1.1479297823216301 Val loss: 2.0781355110812 Time: 0.8098953999869991
Train loss: 0.9105858666758557 Val loss: 2.0097136248950846 Time: 0.8364346000016667
Train loss: 1.0934802934748866 Val loss: 2.0132352446380537 Time: 0.8316080000076909
Train loss: 1.0548320543468876 Val loss: 1.970322884262714 Time: 0.8314670999970986
Train loss: 1.0506206490447885 Val loss: 1.216635595128082 Time: 0.8501800999947591
Train loss: 1.1459378684132908 Val loss: 1.970151946952683 Time: 0.8249805999948876
Train loss: 0.891226445471066 Val loss: 2.133282807422802 Time: 0.8357418999949005
Train loss: 0.9298844053052094 Val loss: 1.602934557311528 Time: 0.8819912000035401
Train loss: 0.9913420641243456 Val loss: 1.8766223094280576 Time: 0.8524448999960441
Train loss: 0.971860558194801 Val loss: 1.9155727871475392 Time: 0.8447197000059532
Train loss: 0.8700083720840261 Val loss: 1.8188624826143496 Time: 0.8476284000062151
Train loss: 0.9975054819737145 Val loss: 1.56466774486762 Time: 0.8519987000036053
Train loss: 0.7498410182686333 Val loss: 2.3063084794557653 Time: 0.85129410000809
Train loss: 1.0931406644008987 Val loss: 1.6844281487501576 Time: 0.8579755999962799
Train loss: 0.8969905533215586 Val loss: 1.5611572072957642 Time: 0.8446278000046732
Train loss: 0.7900387660758825 Val loss: 2.1587289793606033 Time: 0.8588357999979053
Train loss: 0.8538550834361551 Val loss: 1.9341559370932373 Time: 0.8462380999990273
Train loss: 0.8840706467725185 Val loss: 1.5746507472498763 Time: 0.8379137000010815
Train loss: 0.920322751548892 Val loss: 2.1816781844627258 Time: 0.8643609999999171
Train loss: 1.0194709584338293 Val loss: 1.4742021151474518 Time: 0.8422312000038801
Train loss: 0.8966120201476855 Val loss: 2.3677808420543442 Time: 0.8300778999982867
Train loss: 0.8320720629078096 Val loss: 1.6024586864514276 Time: 0.9028793000034057
Shrinking learning rate to 1e-05
Train loss: 0.9041468627157805 Val loss: 1.7484266889520654 Time: 0.8604350999958115
Train loss: 0.6718957091670221 Val loss: 1.74508909457154 Time: 0.8107488000096055
Train loss: 0.8352303309077158 Val loss: 1.7051203286264354 Time: 0.855022400006419
Train loss: 0.7483776106576197 Val loss: 1.7011809099403763 Time: 0.9668174999969779
Train loss: 0.7657981059096493 Val loss: 1.648701242313109 Time: 1.0135144000087166
Train loss: 0.6142151950746291 Val loss: 1.5900326484354537 Time: 0.9882297000003746
Train loss: 0.8064927569555076 Val loss: 1.6529948953466373 Time: 1.0192715000011958
Train loss: 0.6141776885842334 Val loss: 1.6834312762016452 Time: 0.9745014999934938
Train loss: 0.7804526538484098 Val loss: 1.6198378229109949 Time: 1.017403000005288
Train loss: 0.7138516400813723 Val loss: 1.631634962174303 Time: 0.9202394000021741
Train loss: 0.7556498432437726 Val loss: 1.7214720243728152 Time: 0.9060492999997223
Train loss: 0.7651414519909814 Val loss: 1.6455838303770634 Time: 0.9457419000100344
Train loss: 0.755773183566807 Val loss: 1.7258616314425126 Time: 0.9450661000009859
Train loss: 0.7423344270270817 Val loss: 1.6737640256269515 Time: 0.97787660000904
Train loss: 0.7210422291920948 Val loss: 1.7883350786223673 Time: 0.9193899999954738
Train loss: 0.6935254884952506 Val loss: 1.6961055830061014 Time: 0.9340576999966288
Train loss: 0.6981020933961244 Val loss: 1.696280127237685 Time: 0.9356622999912361
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.6768299472755535 Val loss: 1.695563202966241 Time: 0.9683120999980019
Train loss: 0.7304631523636391 Val loss: 1.7007424139374052 Time: 0.9575792000105139
Train loss: 0.7360763507193808 Val loss: 1.7006743106908289 Time: 0.9876535999937914
Train loss: 0.7654178449522275 Val loss: 1.6870220248943042 Time: 0.9184345000103349
Train loss: 0.6782235845193325 Val loss: 1.6839832644413946 Time: 0.8779146000015317
Train loss: 0.731256102369678 Val loss: 1.6837520972021593 Time: 0.9027969000017038
Train loss: 0.7645536639068418 Val loss: 1.6869309305011484 Time: 0.9472589999932097
Train loss: 0.7109192317747763 Val loss: 1.674714468471393 Time: 0.9378275000053691
Train loss: 0.7846041597821063 Val loss: 1.6806985456405528 Time: 0.8973378000082448
Train loss: 0.7859682369046513 Val loss: 1.691235582381978 Time: 0.9118327999894973
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 117.89909669999906
