starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_cnn_drop_22-23.pth
Train loss: 0.5212745585882863 Val loss: 1.719284622115083 Time: 0.841306500005885
Train loss: 0.6986105387302013 Val loss: 1.8512255111709237 Time: 0.808801899998798
Train loss: 0.6629776657967037 Val loss: 2.4243155790609308 Time: 0.7986439999949653
Train loss: 0.862390798570807 Val loss: 1.8655995951239674 Time: 0.7945296999969287
Train loss: 0.828100279738978 Val loss: 1.9056197230529506 Time: 0.8161082999868086
Train loss: 0.5590393463836847 Val loss: 1.666824281513982 Time: 0.7980201000027591
Train loss: 0.7362760148408265 Val loss: 1.846129246383498 Time: 0.8223538000020199
Train loss: 0.5632318024478278 Val loss: 1.9828781830292428 Time: 0.8046910000120988
Train loss: 0.6676980627838622 Val loss: 1.8741955166915432 Time: 0.8019101000099909
Train loss: 0.4283155273575803 Val loss: 1.733963374979794 Time: 0.8279785999911837
Train loss: 0.44032327113320235 Val loss: 1.7492805605781996 Time: 0.8039166999951703
Train loss: 0.45084498223793634 Val loss: 1.8801660210010596 Time: 0.8993596999935107
Train loss: 0.4336784046652369 Val loss: 1.6837456347420812 Time: 0.8988968999910867
Train loss: 0.5198149883200514 Val loss: 2.0388686088263057 Time: 0.8148995999945328
Train loss: 0.46870784074792216 Val loss: 1.553398205593112 Time: 0.8098197000072105
Train loss: 0.621575369227974 Val loss: 2.060081940588134 Time: 0.7927662000001874
Train loss: 0.5939498836700232 Val loss: 1.8508167172174979 Time: 0.7749341000017012
Train loss: 0.5670917706975267 Val loss: 1.8044862890965305 Time: 0.8105166999885114
Train loss: 0.4240187045593551 Val loss: 1.8542052893208165 Time: 0.7934872000041651
Train loss: 0.5328352052462652 Val loss: 1.7413698854215909 Time: 0.7947294999903534
Train loss: 0.5363759238652679 Val loss: 2.1734139611944556 Time: 0.8147683999995934
Train loss: 0.6409384397522331 Val loss: 1.6765740473929327 Time: 0.8096440000081202
Train loss: 0.5358988749204261 Val loss: 1.823234853320173 Time: 0.7835746999917319
Train loss: 0.39194745522441515 Val loss: 1.7478599110618234 Time: 0.7816930999979377
Train loss: 0.5109901891302311 Val loss: 1.9476908896685927 Time: 0.8164464000001317
Train loss: 0.4664907598509771 Val loss: 1.8268484862637706 Time: 0.8236790999944787
Train loss: 0.524371776110037 Val loss: 2.2053889418020844 Time: 0.8136705999932019
Train loss: 0.4545505664744885 Val loss: 2.1546848910302288 Time: 0.8681302999902982
Train loss: 0.4108408987636939 Val loss: 1.917422124359291 Time: 0.8108377000025939
Train loss: 0.42018152822733956 Val loss: 1.8700877813389525 Time: 0.8186319999949774
Train loss: 0.4697662940980476 Val loss: 1.948176174017135 Time: 0.820193500010646
Train loss: 0.5120671849062004 Val loss: 2.397433915059082 Time: 0.7877139000047464
Train loss: 0.5297364889472143 Val loss: 1.9353230732958764 Time: 0.8073296000075061
Shrinking learning rate to 1e-05
Train loss: 0.5227763968624828 Val loss: 1.7484167484217323 Time: 0.8413294000056339
Train loss: 0.42079462283487157 Val loss: 1.7547224864538293 Time: 0.7931405999988783
