starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_B_22-23.pth
Train loss: 1.68071941426129 Val loss: 1.8540899866529799 Time: 0.6772521999955643
Train loss: 1.4783655560091669 Val loss: 1.6235886255963123 Time: 0.6761283999949228
Train loss: 1.6111800580856936 Val loss: 2.0233579236955848 Time: 0.6548023000068497
Train loss: 1.5096757409915365 Val loss: 2.1650277350963165 Time: 0.6526278000092134
Train loss: 1.5928113394652712 Val loss: 1.911242259429855 Time: 0.6781389999960084
Train loss: 1.5453258932526808 Val loss: 1.6836827796523721 Time: 0.6636641999939457
Train loss: 1.5182955199796675 Val loss: 1.932911388692446 Time: 0.6794600000139326
Shrinking learning rate to 1e-05
Train loss: 1.4559046356372756 Val loss: 1.7772417434025556 Time: 0.6956922999816015
Train loss: 1.571870883278514 Val loss: 1.8783328809504383 Time: 0.623711899999762
Train loss: 1.4910663492439369 Val loss: 1.858099459936966 Time: 0.6154993000091054
Train loss: 1.3685742067944773 Val loss: 1.7965703267364006 Time: 0.6320035999815445
Train loss: 1.3903811038563845 Val loss: 1.723867811873788 Time: 0.6357214000017848
Train loss: 1.4958506458532526 Val loss: 1.8133650617673993 Time: 0.6583465999865439
Train loss: 1.2978634515299632 Val loss: 1.7556797411234584 Time: 0.6555093000060879
Train loss: 1.4877285709545873 Val loss: 1.7662255751420162 Time: 0.6602622000209522
Train loss: 1.5794654748135883 Val loss: 1.8280342648393209 Time: 0.6594787999929395
Train loss: 1.4740097442719957 Val loss: 1.786857100927591 Time: 0.6828174999973271
Train loss: 1.456558296639173 Val loss: 1.8085638877910242 Time: 0.6749721000087447
Train loss: 1.6260063101103626 Val loss: 1.7544689549831674 Time: 0.6686254999949597
Train loss: 1.5734500378815142 Val loss: 1.7473458669992397 Time: 0.6225482999871019
Train loss: 1.2883795932484503 Val loss: 1.7456751908321166 Time: 0.6453846000076737
Train loss: 1.406185884215276 Val loss: 1.8018671917416214 Time: 0.6330718999961391
Train loss: 1.3793085712802444 Val loss: 1.791906078631655 Time: 0.6557850000099279
Train loss: 1.3442388873131677 Val loss: 1.8293240516658216 Time: 0.6380656000110321
Train loss: 1.3487169198559608 Val loss: 1.806940529857684 Time: 0.6383296999847516
Train loss: 1.2886352132029515 Val loss: 1.7712289901392069 Time: 0.6279158999968786
Train loss: 1.511891241370563 Val loss: 1.7660380476881983 Time: 0.6379496000008658
Train loss: 1.4373148581066566 Val loss: 1.7629569311611704 Time: 0.6731478000001516
Train loss: 1.4445267170424865 Val loss: 1.7322215704334667 Time: 0.6536216999811586
Train loss: 1.3463873356321443 Val loss: 1.762542502983706 Time: 0.7667171999928541
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.2693610348915554 Val loss: 1.7452514746692032 Time: 0.707813899993198
Train loss: 1.3008244517094347 Val loss: 1.7434460688964464 Time: 0.6228764999832492
Train loss: 1.3398431279040608 Val loss: 1.742622071353253 Time: 0.6424076000112109
Train loss: 1.4888625389178713 Val loss: 1.7468132132780738 Time: 0.6448210999951698
Train loss: 1.3986223581619583 Val loss: 1.7481971488159616 Time: 0.6371559000108391
Train loss: 1.4746001156783448 Val loss: 1.754243470262736 Time: 0.6743713000032585
Train loss: 1.5479640449147105 Val loss: 1.7546954595381976 Time: 0.6866328000032809
Train loss: 1.415169754955901 Val loss: 1.7525044169524335 Time: 0.6123797000036575
Train loss: 1.4534947315337234 Val loss: 1.749728419315943 Time: 0.7582048999902327
Train loss: 1.3273896868226416 Val loss: 1.752167831582483 Time: 0.6554321000003256
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 74.67912289997912
