starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\rnn_drop_22-23.pth
Train loss: 14.67013290901184 Val loss: 2.49305013155481 Time: 0.8590458000107901
Train loss: 13.6510688798421 Val loss: 2.1761251155039645 Time: 0.732318900001701
Train loss: 10.926237007471912 Val loss: 1.4255645419470966 Time: 0.7072556000057375
Train loss: 7.313971976731038 Val loss: 0.9885358265455579 Time: 1.03425789999892
Train loss: 6.039301469059438 Val loss: 0.9232140918538789 Time: 1.7374861999996938
Train loss: 5.947542776954204 Val loss: 0.8790995245607292 Time: 1.9086281999916537
Train loss: 5.596555538747133 Val loss: 0.816692892744868 Time: 1.6521779999893624
Train loss: 5.269201268672923 Val loss: 0.8104084284495912 Time: 1.4452167999988887
Train loss: 5.277788675689294 Val loss: 0.8002324509980099 Time: 1.3512547999998787
Train loss: 4.9713353541034735 Val loss: 0.7905415896876775 Time: 1.4767541000037454
Train loss: 4.953714557481607 Val loss: 0.7450082227924213 Time: 1.451699400000507
Train loss: 4.519178007082644 Val loss: 0.7206247647809505 Time: 1.3313714999967488
Train loss: 4.441476269957134 Val loss: 0.6934128503232841 Time: 1.506194699992193
Train loss: 4.26500231102915 Val loss: 0.672830372084718 Time: 1.3267937999917194
Train loss: 4.085258515850654 Val loss: 0.6682461259770207 Time: 1.438711399998283
Train loss: 3.926735786184934 Val loss: 0.6606177970752469 Time: 1.355038900001091
Train loss: 3.8384133011325527 Val loss: 0.6889476926007774 Time: 1.3549558999948204
Train loss: 3.6156215137351637 Val loss: 0.6640292116258024 Time: 1.3922631000023102
Train loss: 3.415505439511059 Val loss: 0.6723790058713348 Time: 1.32919160000165
Train loss: 3.338853541946702 Val loss: 0.7136093338340288 Time: 1.589894099990488
Train loss: 3.18794639601208 Val loss: 0.7079239395825425 Time: 1.3479048000008333
Train loss: 3.0883343009092954 Val loss: 0.7283089722768636 Time: 0.932651099996292
Train loss: 2.950407511688198 Val loss: 0.7272477542283013 Time: 0.7102143999945838
Train loss: 2.659604660621836 Val loss: 0.8893635047134012 Time: 0.7059492999978829
Train loss: 2.581927274630787 Val loss: 1.003739854117157 Time: 0.7072670000052312
Train loss: 2.3921608009613458 Val loss: 0.9216840223525651 Time: 0.6989127999986522
Train loss: 2.443843588902496 Val loss: 0.9148323276967858 Time: 0.6853313999890815
Train loss: 2.3034997000730435 Val loss: 0.8637647346404265 Time: 0.7132707999990089
