starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_drop_B_22-23.pth
Train loss: 1.4186965987397002 Val loss: 1.5666703247352416 Time: 0.6426672999805305
Train loss: 1.4616900094381933 Val loss: 1.2583078783441124 Time: 0.6420528999879025
Train loss: 1.2967974618490032 Val loss: 1.2870944672322366 Time: 0.6338868000020739
Train loss: 1.5317125222830237 Val loss: 1.426119655778166 Time: 0.6557552999875043
Train loss: 1.3456366354801226 Val loss: 1.627438356346829 Time: 0.667900299973553
Train loss: 1.2872933341303678 Val loss: 1.2125857901992276 Time: 0.6647609999927226
Train loss: 1.2441666729914687 Val loss: 1.0921922706766054 Time: 0.6674476999905892
Train loss: 1.307508572466503 Val loss: 1.373882431538732 Time: 0.6610950999893248
Train loss: 1.208370347072508 Val loss: 1.2792159493546933 Time: 0.6373330999922473
Train loss: 1.1135125872923766 Val loss: 1.2099032544065267 Time: 0.6294459000055213
Train loss: 1.2453465114609656 Val loss: 1.5007754634816592 Time: 0.6401264000160154
Train loss: 1.2281067942679869 Val loss: 1.1633703578845598 Time: 0.6343554999912158
Train loss: 1.1327025952909366 Val loss: 1.3011125001357868 Time: 0.623185900010867
Train loss: 1.1124666024071246 Val loss: 1.4182759004988839 Time: 0.6770606999925803
Train loss: 1.185126371404678 Val loss: 1.1990786832757294 Time: 0.6871671999979299
Train loss: 1.0557078753726898 Val loss: 1.3353970719472272 Time: 0.6632675000000745
Train loss: 1.167112968894969 Val loss: 1.1652468192041852 Time: 0.7025386999885086
Train loss: 0.9508031679192435 Val loss: 1.0692209643948445 Time: 0.6515093999914825
Train loss: 1.097499487584173 Val loss: 1.1681515771051636 Time: 0.6344936999958009
Train loss: 1.0234179352365231 Val loss: 1.1766400701453676 Time: 0.647734100028174
Train loss: 1.0852810885944493 Val loss: 1.1104934802860953 Time: 0.6237929000053555
Train loss: 1.0279496754050257 Val loss: 1.1289971024198167 Time: 0.6618959000043105
Train loss: 1.061439797805845 Val loss: 1.2867905375314876 Time: 0.6282625999883749
Train loss: 1.2566126353671763 Val loss: 1.0767603347094337 Time: 0.6559659999911673
Train loss: 1.0989542118840525 Val loss: 1.2824581722379662 Time: 0.6567230000218842
Train loss: 0.9268567548823547 Val loss: 1.017458531450984 Time: 0.6258235999848694
Train loss: 0.9752928294451602 Val loss: 1.2419926736620255 Time: 0.6391657000058331
Train loss: 0.9545108927463399 Val loss: 1.0989238345064223 Time: 0.6305630000133533
Train loss: 0.9808557226408752 Val loss: 1.1642726559439325 Time: 0.6139928000047803
Train loss: 0.964837908444431 Val loss: 1.059850491816178 Time: 0.6352192999911495
Train loss: 0.9891353572049582 Val loss: 1.0914114289334975 Time: 0.6448581000149716
Train loss: 0.8883217613102943 Val loss: 1.264789623732213 Time: 0.6446053000108805
Train loss: 0.8589357481379807 Val loss: 1.0615529911592603 Time: 0.6408956999948714
Train loss: 1.005817280827081 Val loss: 1.2400122664985247 Time: 0.7075908999831881
Train loss: 0.8751557914836496 Val loss: 1.1268817434320226 Time: 0.7268465000088327
Train loss: 0.9283161400868778 Val loss: 1.0561412428505719 Time: 0.6412281999946572
Train loss: 0.9336448551684091 Val loss: 1.0336996605619788 Time: 0.6275800000003073
Train loss: 0.9991619261191715 Val loss: 0.9924689903855324 Time: 0.6189200000080746
Train loss: 0.8438126936686814 Val loss: 1.0389274540357292 Time: 0.6198358000256121
Train loss: 0.8866287613635109 Val loss: 1.2535215225070715 Time: 0.6226242999837268
Train loss: 0.8379741176082831 Val loss: 0.9284933896269649 Time: 0.6453867999953218
Train loss: 0.8724135062611751 Val loss: 1.0891822893172503 Time: 0.6244995000015479
Train loss: 0.8997736510542893 Val loss: 1.0904641663655639 Time: 0.6255407999851741
Train loss: 0.7743425601846496 Val loss: 1.0914471701180446 Time: 0.6623001999978442
Train loss: 0.8582942606157786 Val loss: 1.0200498157646507 Time: 0.6390814000042155
Train loss: 0.8884370358285594 Val loss: 0.9632487485650927 Time: 0.6305432999797631
Train loss: 0.8066846057383634 Val loss: 1.4132446712610545 Time: 0.6102870000177063
Train loss: 0.8923541341167152 Val loss: 0.9973192517645657 Time: 0.6171791999950074
Train loss: 0.8402886615352907 Val loss: 1.0287368074205006 Time: 0.6249466000008397
Train loss: 0.8429313095919468 Val loss: 1.1107458875339944 Time: 0.6335179999878164
Train loss: 0.89771595622733 Val loss: 0.9942336939275265 Time: 0.6401072999869939
Train loss: 0.9370313828897159 Val loss: 0.8266189708374441 Time: 0.6642238000058569
Train loss: 0.826984200112804 Val loss: 1.1340053885360248 Time: 0.6249968000047375
Shrinking learning rate to 1e-05
Train loss: 0.9271802356399661 Val loss: 1.146072945499327 Time: 0.6332377000071574
Train loss: 0.7089445011139814 Val loss: 1.130661373375915 Time: 0.6106587999965996
Train loss: 0.8205408136187806 Val loss: 1.1127775463974103 Time: 0.6529708000016399
Train loss: 0.7690364625110178 Val loss: 1.0883900790649932 Time: 0.6322214000101667
Train loss: 0.8635759303719972 Val loss: 1.093398965385859 Time: 0.6149019000004046
Train loss: 0.7968418491533384 Val loss: 1.096143444563495 Time: 0.6270026999991387
Train loss: 0.7727600402219592 Val loss: 1.082065476453863 Time: 0.6290084000211209
Train loss: 0.7352845639461236 Val loss: 1.1046091034368146 Time: 0.6580037999956403
Train loss: 0.7591446251641543 Val loss: 1.0932089818525128 Time: 0.5999534000002313
Train loss: 0.8437022474194578 Val loss: 1.0835012656534673 Time: 0.6364250000042375
Train loss: 0.8178689710421958 Val loss: 1.1119908304535784 Time: 0.6482667000091169
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.8153295451185159 Val loss: 1.1288159674732015 Time: 0.6420893000031356
Train loss: 0.8440036591912303 Val loss: 1.1272566638654098 Time: 0.6671343000198249
Train loss: 0.7974522878512857 Val loss: 1.1257695496315137 Time: 0.635489400010556
Train loss: 0.79787063116855 Val loss: 1.1265437424299307 Time: 0.6234349000151269
Train loss: 0.8528411429143574 Val loss: 1.123795733496081 Time: 0.6149341000127606
Train loss: 0.7888594624905068 Val loss: 1.122420577070443 Time: 0.6130700999929104
Train loss: 0.9008487765391067 Val loss: 1.1226315685198642 Time: 0.645320499985246
Train loss: 0.8246404059912047 Val loss: 1.120236800663406 Time: 0.6109272000030614
Train loss: 0.8072375581396953 Val loss: 1.1212636607233435 Time: 0.6252308999828529
Train loss: 0.7228018331244357 Val loss: 1.1218724634381942 Time: 0.61700369999744
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 75.20127179997507
