starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_B_23-24.pth
Train loss: 4.508131090141035 Val loss: 0.0 Time: 0.5602349000109825
Train loss: 4.613195320510613 Val loss: 0.0 Time: 0.5727226000162773
Train loss: 3.6935943357549093 Val loss: 0.0 Time: 0.5574684000166599
Train loss: 3.4996776518977697 Val loss: 0.0 Time: 0.5434031000186224
Train loss: 3.106901892479102 Val loss: 0.0 Time: 0.5513437999761663
Train loss: 3.3199393726520157 Val loss: 0.0 Time: 0.5338526999985334
Train loss: 3.092649944648544 Val loss: 0.0 Time: 0.5418788999959361
Train loss: 2.755854109971011 Val loss: 0.0 Time: 0.5672565999848302
Train loss: 2.834546090835463 Val loss: 0.0 Time: 0.5308917000074871
Train loss: 2.8746005611322403 Val loss: 0.0 Time: 0.5349736000061966
Train loss: 2.5872546404835077 Val loss: 0.0 Time: 0.5391308999969624
Train loss: 2.476873978451146 Val loss: 0.0 Time: 0.5367590999812819
Train loss: 2.4544489200355883 Val loss: 0.0 Time: 0.5732483000028878
Train loss: 2.4114271444577753 Val loss: 0.0 Time: 0.8791124999988824
Train loss: 2.393250109207411 Val loss: 0.0 Time: 1.0497324999887496
Train loss: 2.3173072156006924 Val loss: 0.0 Time: 0.9675611000275239
Train loss: 2.381220163520906 Val loss: 0.0 Time: 0.532305600005202
Train loss: 2.282539357134504 Val loss: 0.0 Time: 0.5364356999925803
Train loss: 2.1520103748567863 Val loss: 0.0 Time: 0.5118682000029366
Train loss: 2.2703729511267037 Val loss: 0.0 Time: 0.5340574999863748
Train loss: 2.2806759833908785 Val loss: 0.0 Time: 0.5211430999916047
Train loss: 2.170188188857651 Val loss: 0.0 Time: 0.515615100011928
Train loss: 2.202069562431319 Val loss: 0.0 Time: 0.5094331000000238
Train loss: 2.0746214375488137 Val loss: 0.0 Time: 0.5343924000044353
Train loss: 1.933193349660744 Val loss: 0.0 Time: 0.5266720000072382
Train loss: 1.8938925320823055 Val loss: 0.0 Time: 0.5245465999760199
Train loss: 1.9035350686319816 Val loss: 0.0 Time: 0.5221651000028942
Train loss: 2.053973608875026 Val loss: 0.0 Time: 0.5288742999837268
Train loss: 1.9746163077942356 Val loss: 0.0 Time: 0.5231156999943778
Train loss: 1.9227692609312612 Val loss: 0.0 Time: 0.5819169000023976
Train loss: 2.081438591464156 Val loss: 0.0 Time: 0.5790957999997772
Train loss: 1.8031504510969683 Val loss: 0.0 Time: 0.5182499999937136
Train loss: 2.1241872759418357 Val loss: 0.0 Time: 0.5303825000009965
Train loss: 1.8633463838675226 Val loss: 0.0 Time: 0.5575081999995746
Train loss: 1.782240112210502 Val loss: 0.0 Time: 0.5261574000178371
Train loss: 1.831622221250833 Val loss: 0.0 Time: 0.5114847000222653
Train loss: 1.9641254791202005 Val loss: 0.0 Time: 0.5172238000086509
Train loss: 1.8567641352909519 Val loss: 0.0 Time: 0.5297893999959342
Train loss: 1.7416550899155254 Val loss: 0.0 Time: 0.5188793999841437
Train loss: 1.8430109020532086 Val loss: 0.0 Time: 0.5265196999826003
Train loss: 1.7438991996160667 Val loss: 0.0 Time: 0.5199240999936592
Train loss: 1.7517121997930793 Val loss: 0.0 Time: 0.5331346000020858
Train loss: 1.7115828397220412 Val loss: 0.0 Time: 0.5419731000147294
Train loss: 1.7237380025109132 Val loss: 0.0 Time: 0.5186272000137251
Train loss: 1.637677747268651 Val loss: 0.0 Time: 0.5528365999925882
Train loss: 1.7773629653854943 Val loss: 0.0 Time: 0.5199670000001788
Train loss: 1.5894003100087843 Val loss: 0.0 Time: 0.5407063000020571
