starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_B_22-23.pth
Train loss: 1.8808374456544608 Val loss: 2.0429810200585052 Time: 0.5580406000080984
Train loss: 1.8773313050551224 Val loss: 2.0119222856592387 Time: 0.5165459999989253
Train loss: 1.80020194452689 Val loss: 2.024324435100425 Time: 0.5329625000013039
Train loss: 1.844825271954182 Val loss: 2.047098191571422 Time: 0.6926892999908887
Train loss: 1.7434305837413717 Val loss: 2.111224253254477 Time: 0.7630731999815907
Train loss: 1.7378913746824196 Val loss: 2.087642872123979 Time: 0.5989010000193957
Train loss: 1.6869647080789107 Val loss: 2.171401691448409 Time: 0.6227861000224948
Train loss: 1.69161604164987 Val loss: 2.1736727190436795 Time: 0.5441496999992523
Train loss: 1.6570164241835315 Val loss: 2.2294014380604494 Time: 0.5064612999849487
Train loss: 1.5972020932474518 Val loss: 2.2412257316464093 Time: 0.6036550999851897
Train loss: 1.6054142408722942 Val loss: 2.222526487268624 Time: 0.5048143000167329
Train loss: 1.6586332005843616 Val loss: 2.2979232655488886 Time: 0.5158786000101827
Train loss: 1.6322259934844112 Val loss: 2.258030864140892 Time: 0.5649143999908119
Train loss: 1.5942005508328947 Val loss: 2.2481924176754546 Time: 0.5486002000106964
Train loss: 1.5930719728198248 Val loss: 2.369896970121772 Time: 0.5644210999889765
Train loss: 1.560557914594714 Val loss: 2.365588564767677 Time: 0.5395280000229832
Train loss: 1.4906749307348055 Val loss: 2.360054146544144 Time: 0.578616199985845
Train loss: 1.5246876244999763 Val loss: 2.3933684364649253 Time: 0.5639776999887545
Train loss: 1.5195642992478922 Val loss: 2.3198681097993585 Time: 0.5206510999996681
Train loss: 1.449628943523944 Val loss: 2.439863337960219 Time: 0.5432931999966968
Train loss: 1.5063472683581853 Val loss: 2.408621233881604 Time: 0.5251356999797281
Train loss: 1.4539862502394953 Val loss: 2.4565622822810838 Time: 0.5266616999870166
Train loss: 1.43474058239363 Val loss: 2.505545843472646 Time: 0.5026503999833949
Train loss: 1.458392976081882 Val loss: 2.445735734721893 Time: 0.5322228000150062
Train loss: 1.4592142043179652 Val loss: 2.492924769181627 Time: 0.549663200014038
Train loss: 1.3880973010139406 Val loss: 2.4582075175785576 Time: 0.544373299984727
