starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_22-23.pth
Train loss: 4.571169813982905 Val loss: 1.0219454620819306 Time: 0.8716729000007035
Train loss: 4.648474801765019 Val loss: 1.0416757189595955 Time: 0.8508164000086254
Train loss: 4.506703980446801 Val loss: 1.0314792031522302 Time: 0.8773879000073066
Train loss: 4.3228839533935375 Val loss: 1.0095139961631503 Time: 0.8523562000045786
Train loss: 4.396141794668942 Val loss: 1.0259927944464664 Time: 0.8228832000022521
Train loss: 4.2759194793653705 Val loss: 1.035094869308523 Time: 0.8498752000014065
Train loss: 4.238124820937529 Val loss: 1.0355638971086591 Time: 0.9269264999893494
Train loss: 4.0924199712063265 Val loss: 1.0106539822882041 Time: 0.8873583000095095
Train loss: 4.0446692054182805 Val loss: 1.0429533419264772 Time: 0.8582973000011407
Train loss: 3.97534900370664 Val loss: 1.023021670342132 Time: 0.8454800999897998
Train loss: 4.0399893889638765 Val loss: 1.0381475514716385 Time: 0.8321787000022596
Train loss: 3.895142659249448 Val loss: 1.0425123571512813 Time: 0.848911399996723
Train loss: 3.9446689808549564 Val loss: 1.0765390984888654 Time: 0.8031530000007479
Train loss: 3.664211078391567 Val loss: 1.0236723849375267 Time: 0.884820999999647
Train loss: 3.8273815212015165 Val loss: 1.000096105330158 Time: 0.9323523000057321
Train loss: 3.8552418124018857 Val loss: 1.0369582066778094 Time: 0.8541847000014968
Train loss: 3.6698212724818404 Val loss: 1.0184618555940688 Time: 0.8653647000028286
Train loss: 3.572456847909217 Val loss: 1.0063775482121855 Time: 0.8709203000034904
Train loss: 3.613153403016863 Val loss: 1.0037982432404533 Time: 0.8098795999976574
Train loss: 3.5612773946928176 Val loss: 1.0208359117386863 Time: 0.8750551999983145
Train loss: 3.3088040698251904 Val loss: 0.9643174264347181 Time: 0.9078354999946896
Train loss: 3.1033664748983725 Val loss: 0.9971138738328591 Time: 0.8120775999996113
Train loss: 3.1594613697368175 Val loss: 0.972451928711962 Time: 0.8773185000027297
Train loss: 3.224407937703212 Val loss: 1.0039380440721288 Time: 0.9303581000131089
Train loss: 3.014759980146465 Val loss: 1.0104166436940432 Time: 0.8903401999996277
Train loss: 2.9545852244937727 Val loss: 0.9638693798333406 Time: 0.8580041000095662
Train loss: 3.0430509599514437 Val loss: 1.0432699059601873 Time: 0.8672077999945031
Train loss: 2.7763834680141066 Val loss: 0.9639419651357457 Time: 0.8517578000028152
Train loss: 2.5770074712068745 Val loss: 1.0474768230924383 Time: 0.9030297999997856
Train loss: 2.932888964364146 Val loss: 1.0434751764987595 Time: 0.8335950000036974
Train loss: 2.868697272045967 Val loss: 1.0678786008793395 Time: 0.8529723999963608
Train loss: 2.868442560678716 Val loss: 0.9891619787667878 Time: 0.8877435000031255
Train loss: 2.704579606760403 Val loss: 1.0541361012728885 Time: 0.8910149000003003
Train loss: 2.7310091554728544 Val loss: 1.0376502244616859 Time: 0.8251027000078466
Train loss: 2.573534975953166 Val loss: 1.0564007662469521 Time: 0.8738917000009678
Train loss: 2.533617323065098 Val loss: 1.0872358526976313 Time: 0.8748099999938859
Train loss: 2.649932417345731 Val loss: 1.1292986072367057 Time: 0.9001188999973238
Train loss: 2.5932265364664673 Val loss: 1.1591161262767855 Time: 0.8202809999929741
Train loss: 2.4314154599441977 Val loss: 1.210815691450989 Time: 0.8606256000057328
Train loss: 2.3286978140966386 Val loss: 1.1782114814704983 Time: 0.9126102000009269
Train loss: 2.320159687345381 Val loss: 1.2568322151346365 Time: 0.8829569999943487
Train loss: 2.48477325809327 Val loss: 1.223777719278587 Time: 0.8496827999915695
Train loss: 2.1901037273684842 Val loss: 1.2491555044639426 Time: 0.964537099993322
Train loss: 2.3359089804229676 Val loss: 1.3441250667606255 Time: 0.904230699990876
Train loss: 2.392281427919471 Val loss: 1.3811178745490906 Time: 0.8954253999982029
Train loss: 2.2515048493373815 Val loss: 1.3999745867331512 Time: 0.8800790000095731
Train loss: 2.2107919465011214 Val loss: 1.3490448091906728 Time: 0.8665175999922212
Train loss: 2.1829340652401363 Val loss: 1.4179576641490712 Time: 0.8680900000035763
Train loss: 2.2575324027806474 Val loss: 1.4931182602340414 Time: 0.8982967999909306
Train loss: 2.0717036115385987 Val loss: 1.420753602990203 Time: 0.9244162999966647
Train loss: 2.0776303943468717 Val loss: 1.550871562836619 Time: 0.9014366999908816
Train loss: 2.0615931399045166 Val loss: 1.4274104013582019 Time: 0.9125516000058269
Train loss: 2.0649031370797246 Val loss: 1.4864979139674688 Time: 0.8024427000054857
Train loss: 2.0201636583568785 Val loss: 1.4594995056168045 Time: 1.0600678000046173
Train loss: 2.025827089714708 Val loss: 1.6047138493789816 Time: 1.128970500009018
Train loss: 1.9883551214075545 Val loss: 1.6490466155482864 Time: 1.005781100000604
Train loss: 1.7608717485368564 Val loss: 1.6864110551978229 Time: 0.8492943000019295
Train loss: 1.8478290602432743 Val loss: 1.7771046642060107 Time: 0.9087842000008095
Train loss: 2.0327314461892954 Val loss: 1.744832966262038 Time: 0.9305823000031523
Train loss: 1.870534282079575 Val loss: 1.76596714237985 Time: 0.8882687000004807
Train loss: 1.847521791475316 Val loss: 1.8773216162044264 Time: 0.8418513000069652
Train loss: 1.8331552862786111 Val loss: 1.7357959818600648 Time: 0.9238723000016762
Train loss: 1.8762740400907632 Val loss: 1.8316226037479737 Time: 0.8603793999936897
Train loss: 1.8173717335427888 Val loss: 1.9720551257487386 Time: 0.816695500005153
Train loss: 1.7865423850857205 Val loss: 1.923754710383946 Time: 0.9489587999996729
Train loss: 1.8985338957488693 Val loss: 2.029838480233593 Time: 0.9166104000032647
Shrinking learning rate to 1e-05
Train loss: 1.7463077167584133 Val loss: 1.6262256261534276 Time: 0.8375069000030635
Train loss: 1.7321880640137834 Val loss: 1.6009701529069957 Time: 0.9554769999958808
Train loss: 1.8613330704301916 Val loss: 1.5850017622492487 Time: 1.114322199995513
Train loss: 1.7813816691221938 Val loss: 1.5953405071464317 Time: 1.1557181999960449
Train loss: 1.7000060263461876 Val loss: 1.5984802439343184 Time: 1.0805964000028325
Train loss: 1.698535110434392 Val loss: 1.5757595517170557 Time: 1.2954893999994965
Train loss: 1.8338105879057771 Val loss: 1.606892546377253 Time: 1.116737300006207
Train loss: 1.6598510993420064 Val loss: 1.598604993974405 Time: 1.0489388000132749
Train loss: 1.7416824890906355 Val loss: 1.5879922959611577 Time: 1.234625800003414
Train loss: 1.7662452886328595 Val loss: 1.6069748231344079 Time: 1.7823508999863407
Train loss: 1.7259075262415422 Val loss: 1.609898013332895 Time: 1.5345840999943903
Train loss: 1.6724939303725535 Val loss: 1.6337712822023605 Time: 1.3408243999874685
Train loss: 1.716798538289268 Val loss: 1.6288517553211932 Time: 1.2046043000009377
Train loss: 1.8060633605959566 Val loss: 1.5939244026121742 Time: 1.502939800004242
Train loss: 1.7327852445646919 Val loss: 1.620150709387417 Time: 1.2227635000017472
Train loss: 1.7363546119098316 Val loss: 1.6495242965465877 Time: 1.199105799998506
Train loss: 1.762077697952267 Val loss: 1.6541740276443306 Time: 1.1542881000059424
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.595332128550961 Val loss: 1.5978754616598962 Time: 1.3000712000066414
Train loss: 1.7786128887784243 Val loss: 1.5959313564696949 Time: 1.0485723999881884
Train loss: 1.7973923404868373 Val loss: 1.5951196912497494 Time: 1.2714839999971446
Train loss: 1.684380719939064 Val loss: 1.591359635523986 Time: 1.1393040999973891
Train loss: 1.6190304075331117 Val loss: 1.5907224161841782 Time: 1.2635962000058498
Train loss: 1.7235842449689451 Val loss: 1.5900833143638806 Time: 1.0862109000008786
Train loss: 1.7022563766592071 Val loss: 1.587814373029346 Time: 1.158909500009031
Train loss: 1.6685352139037946 Val loss: 1.58564016837272 Time: 1.2323083999945084
Train loss: 1.58548889806762 Val loss: 1.5863301144944444 Time: 1.1499976999912178
Train loss: 1.703589634898929 Val loss: 1.585905704615982 Time: 1.121796000006725
Train loss: 1.7249498897569326 Val loss: 1.5852587876179314 Time: 1.139164600012009
Train loss: 1.662054327111008 Val loss: 1.5856873361784096 Time: 1.343016800004989
Train loss: 1.6616249659353173 Val loss: 1.585531465319832 Time: 1.2462752999999793
Train loss: 1.6550351354000554 Val loss: 1.585611522075851 Time: 1.0139371999975992
Train loss: 1.678558565180623 Val loss: 1.5868216449323143 Time: 1.2276382999989437
Train loss: 1.8188182437578035 Val loss: 1.5898552425027823 Time: 1.1926659000018844
Train loss: 1.7828381765958596 Val loss: 1.5912597864292053 Time: 1.0964515000086976
Train loss: 1.6285681457149224 Val loss: 1.5911695937832206 Time: 1.1759358999988763
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 122.35216340000625
