starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\rnn_3lay_drop_22-23.pth
Train loss: 0.6155957127911904 Val loss: 0.6896704867144763 Time: 0.8812391999963438
Train loss: 0.5264728880933625 Val loss: 0.6961996417157934 Time: 0.9254762999917148
Train loss: 0.6786119870320046 Val loss: 0.6988064972865686 Time: 0.904648099996848
Train loss: 0.5981026861068663 Val loss: 0.6977952986271703 Time: 0.9102524000045378
Train loss: 0.5827936317029554 Val loss: 0.6909937403179356 Time: 0.917972600000212
Train loss: 0.6135954652711391 Val loss: 0.6945382913218054 Time: 0.9133162000071025
Train loss: 0.5382214498759499 Val loss: 0.6958455272942956 Time: 0.9026652000029571
Train loss: 0.6113303744203762 Val loss: 0.6986843044269335 Time: 0.9155738999979803
Train loss: 0.5813955069529193 Val loss: 0.6998549386917148 Time: 0.9233983000012813
Train loss: 0.5420257339576091 Val loss: 0.6933379365000292 Time: 0.9037005999998655
Train loss: 0.5958805086213256 Val loss: 0.6957779699514504 Time: 0.9112476000009337
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.5760032874259373 Val loss: 0.6943951272551203 Time: 0.9347651000134647
Train loss: 0.6416268520555679 Val loss: 0.694539701755275 Time: 0.9053484000032768
Train loss: 0.595830455322357 Val loss: 0.6930852727200545 Time: 0.9092528000037419
Train loss: 0.6280073352995759 Val loss: 0.6937138743924152 Time: 0.911757599998964
Train loss: 0.6188484663384806 Val loss: 0.6942140144965379 Time: 0.9191457999986596
Train loss: 0.5621666267164596 Val loss: 0.6952999763998378 Time: 0.9154436999961035
Train loss: 0.5240679290287682 Val loss: 0.6944552396744257 Time: 0.9033689999923809
Train loss: 0.5419900735516414 Val loss: 0.6954038602852961 Time: 0.907667899999069
Train loss: 0.6537763026547927 Val loss: 0.693678807510878 Time: 0.9032082000048831
Train loss: 0.5367907896204225 Val loss: 0.6951711354595318 Time: 0.8970474999950966
Train loss: 0.5867695144929952 Val loss: 0.6950156832572247 Time: 0.9125673999951687
Train loss: 0.50968678635342 Val loss: 0.6923045220046333 Time: 0.9797819999948842
Train loss: 0.6548325493506866 Val loss: 0.6926736204786721 Time: 1.1868774000031408
Train loss: 0.4949045447227576 Val loss: 0.692485275107174 Time: 0.934950700000627
Train loss: 0.5599910356785731 Val loss: 0.6929950774028839 Time: 0.9344711000012467
Train loss: 0.6782064170101592 Val loss: 0.6925606457880349 Time: 0.9104086000006646
Train loss: 0.6266750726949759 Val loss: 0.693013830583368 Time: 0.9171962999971583
Train loss: 0.5860284316696216 Val loss: 0.6918916598151554 Time: 0.8961024000018369
Train loss: 0.5992370811025012 Val loss: 0.6907068413474917 Time: 0.8991192000103183
Train loss: 0.5837539417085553 Val loss: 0.6916373778130946 Time: 0.9026293999922927
Train loss: 0.7252477409274647 Val loss: 0.6904484211881936 Time: 0.9172927000035997
Train loss: 0.5689898082887404 Val loss: 0.6889416474587051 Time: 0.907316400000127
Train loss: 0.6036556834254618 Val loss: 0.6899877907653718 Time: 0.8922490999975707
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 142.7323735999962
