starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\rnn_23-24.pth
Train loss: 4.881083222637774 Val loss: 0.5106383760053738 Time: 1.9356540000007953
Train loss: 5.498506097955268 Val loss: 0.5773745528663803 Time: 1.1984693999984302
Train loss: 5.020614243305336 Val loss: 0.5299320686332194 Time: 0.9763435999921057
Train loss: 4.38653810008593 Val loss: 0.47437350962999764 Time: 0.8760709000052884
Train loss: 4.1236884810062415 Val loss: 0.45428561363557934 Time: 0.8193963999801781
Train loss: 4.12998973041815 Val loss: 0.4571164078057792 Time: 1.0244290999835357
Train loss: 3.9770193827851053 Val loss: 0.4435516362081645 Time: 0.8563945000059903
Train loss: 3.9097441680287712 Val loss: 0.43254489040065786 Time: 1.1009943000099156
Train loss: 3.7438096702433348 Val loss: 0.42249880484418145 Time: 1.148817900015274
Train loss: 3.8240286853821317 Val loss: 0.4283728032290012 Time: 0.9818290999974124
Train loss: 3.7573361031339267 Val loss: 0.42525369444660444 Time: 0.8659198000095785
Train loss: 3.539344878467709 Val loss: 0.4019112541982606 Time: 0.9913524000148755
Train loss: 3.437383882569336 Val loss: 0.39625887584521036 Time: 2.780059300013818
Train loss: 3.4866130350478954 Val loss: 0.3893918022776751 Time: 1.503060600021854
Train loss: 3.444557596985824 Val loss: 0.3962230283309674 Time: 2.444807199994102
Train loss: 3.495292878860777 Val loss: 0.40399152474851957 Time: 1.9807076000142843
Train loss: 3.1448146337187417 Val loss: 0.39368740954148806 Time: 1.7196882000134792
Train loss: 3.0257117130639557 Val loss: 0.38176453192787135 Time: 1.8454825999797322
Train loss: 2.9587176422104227 Val loss: 0.39264022100866 Time: 2.3637632000027224
Train loss: 2.8189537060353587 Val loss: 0.3717808396455838 Time: 2.226089800009504
Train loss: 2.8607475663050987 Val loss: 0.37980001481093306 Time: 2.4579073999775574
Train loss: 2.6220559255576372 Val loss: 0.3776391418673115 Time: 2.6249385999981314
Train loss: 2.5573958411843574 Val loss: 0.3702965416540165 Time: 2.410685300012119
Train loss: 2.6198074844505648 Val loss: 0.3500718811652539 Time: 2.8231607000052463
Train loss: 2.532488237189501 Val loss: 0.36911237019806475 Time: 3.0798797000024933
Train loss: 2.3919169313226103 Val loss: 0.33497825579096746 Time: 2.4048492000147235
Train loss: 2.2497256532953696 Val loss: 0.34022448558185675 Time: 2.516902699979255
Train loss: 2.3708870306092766 Val loss: 0.35018672216933194 Time: 2.2752659000107087
Train loss: 2.23339496319786 Val loss: 0.3466229216759845 Time: 2.175792199996067
Train loss: 2.3066127098359672 Val loss: 0.34269555516051686 Time: 2.527257500012638
Train loss: 2.1832576896716986 Val loss: 0.35680333688245425 Time: 2.232460600003833
Train loss: 2.157923123503646 Val loss: 0.33630865868390014 Time: 2.7056992999860086
Train loss: 2.1284455854408577 Val loss: 0.36233676421578764 Time: 2.2881966999848373
Train loss: 2.0579888765766867 Val loss: 0.34282030284015313 Time: 2.187230300012743
Train loss: 2.2552953448579984 Val loss: 0.3600042335680475 Time: 2.6952611000160687
Train loss: 1.891161455186286 Val loss: 0.36970433609063047 Time: 2.7534787000040524
Train loss: 1.862159343636821 Val loss: 0.3138995487039797 Time: 2.9604254000005312
Train loss: 2.004152732421865 Val loss: 0.35551672509474946 Time: 2.5460640000237618
Train loss: 1.922517724820061 Val loss: 0.316101681652271 Time: 3.0514144000189845
Train loss: 1.8410711294270803 Val loss: 0.31349105290628215 Time: 2.8735153999878094
Train loss: 2.013797153016739 Val loss: 0.3439744701628533 Time: 2.4350073999958113
Train loss: 1.8082573773901967 Val loss: 0.29872739678373633 Time: 2.3082534999994095
Train loss: 1.7703100615223542 Val loss: 0.32125093581006947 Time: 2.371305400010897
Train loss: 1.756205033165628 Val loss: 0.2774642595901106 Time: 2.882223199994769
Train loss: 1.846119702137841 Val loss: 0.32318339137899965 Time: 3.012373599980492
Train loss: 1.6800955865818992 Val loss: 0.3101012671685692 Time: 2.792897200008156
Train loss: 1.8484712058039658 Val loss: 0.3161947012408203 Time: 2.2207694000098854
Train loss: 1.6978788467255352 Val loss: 0.26588187948496955 Time: 2.6810732999874745
Train loss: 1.8007065155437951 Val loss: 0.25494472839665117 Time: 2.8912003000150435
Train loss: 1.699235645257714 Val loss: 0.2829330831559399 Time: 2.5996968999970704
Train loss: 1.5093929409521252 Val loss: 0.26967156178225093 Time: 2.257005899999058
Train loss: 1.6035061004069826 Val loss: 0.2646653858261609 Time: 2.3116392999945674
Train loss: 1.55461596979805 Val loss: 0.28801316252615683 Time: 2.1987269000092056
Train loss: 1.6980760120021388 Val loss: 0.2854531565940697 Time: 2.738665899989428
Train loss: 1.6019731031034423 Val loss: 0.2802394115200416 Time: 2.761238200007938
