starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_22-23_train.pth
Train loss: 2.4614849634348555 Val loss: 0.0035649952478706837 Time: 0.8067086000082782
Train loss: 3.0528120107089203 Val loss: 0.003648477839305997 Time: 0.7599007999961032
Train loss: 2.2324307071350837 Val loss: 0.004008074756711721 Time: 0.6994527999922866
Train loss: 1.9334588266112744 Val loss: 0.004225909244269133 Time: 0.8949701000092318
Train loss: 1.7742866121223078 Val loss: 0.0044905878603458405 Time: 0.7312114000087604
Train loss: 1.6625288534624276 Val loss: 0.004816859029233456 Time: 0.7447240000037709
Train loss: 1.6036623833688086 Val loss: 0.005016180220991373 Time: 0.7105720000108704
Train loss: 1.4776330843845678 Val loss: 0.00524464575573802 Time: 0.8621942000027047
Train loss: 1.418825877880617 Val loss: 0.005435811821371317 Time: 1.079076599999098
Train loss: 1.3354243329962223 Val loss: 0.005301313474774361 Time: 1.2029213999921922
Train loss: 1.2698110037679688 Val loss: 0.005582649260759354 Time: 1.1187834000011208
Train loss: 1.1776550070319374 Val loss: 0.00545634375885129 Time: 1.1375148999941302
Train loss: 1.2484138278327777 Val loss: 0.00589948333799839 Time: 1.1275955000019167
Train loss: 1.1793808399579753 Val loss: 0.005348551087081432 Time: 1.2794371000054525
Train loss: 1.0721576532427668 Val loss: 0.005532851442694664 Time: 1.041761900007259
Train loss: 1.1537997277823102 Val loss: 0.00516080716624856 Time: 1.0399418999877525
Train loss: 0.9669492394876236 Val loss: 0.0051550837233662605 Time: 1.036023299995577
Train loss: 0.9735823109447558 Val loss: 0.004649717826396227 Time: 1.1066122000047471
Train loss: 1.0221969240439543 Val loss: 0.00446262676268816 Time: 1.0755187000031583
Train loss: 0.9347135295037274 Val loss: 0.004204643424600363 Time: 1.0039020000112941
Train loss: 0.882442108374098 Val loss: 0.0038597022648900747 Time: 1.045487499999581
Train loss: 0.916983556393753 Val loss: 0.003904292592778802 Time: 1.030261399995652
Train loss: 0.8534716591768685 Val loss: 0.0036794571205973625 Time: 0.9925346999953035
Train loss: 0.8448368291211148 Val loss: 0.0031821553129702806 Time: 0.894559999986086
Train loss: 0.8362589070773239 Val loss: 0.0025384866166859865 Time: 0.6928441999916686
Train loss: 0.7911146503167807 Val loss: 0.002114182338118553 Time: 0.6775429999979679
Train loss: 0.7473723594606948 Val loss: 0.001833651913329959 Time: 0.6713003000040771
Train loss: 0.6928781965961646 Val loss: 0.0018472381634637713 Time: 0.6914695000014035
Train loss: 0.7398350876118989 Val loss: 0.001574283349327743 Time: 0.6899684000090929
Train loss: 0.7426862121055926 Val loss: 0.0018852156354114413 Time: 0.6798079999862239
Train loss: 0.6375930236826692 Val loss: 0.0013684642035514116 Time: 0.7023086999979569
Train loss: 0.6626346050910263 Val loss: 0.0009380978299304843 Time: 0.6662879999930738
Train loss: 0.6421399531285634 Val loss: 0.001383644063025713 Time: 0.8151651000080165
Train loss: 0.6980635675087496 Val loss: 0.0013269566697999835 Time: 0.7155037000047741
Train loss: 0.6711472123066269 Val loss: 0.0011087454622611403 Time: 0.7283701999986079
Train loss: 0.6170863418812337 Val loss: 0.001144830952398479 Time: 0.6913999000098556
Train loss: 0.668049895737159 Val loss: 0.0009027147316373885 Time: 0.7095812000043225
Train loss: 0.5879871001820434 Val loss: 0.0011047408916056156 Time: 0.6988409000041429
Train loss: 0.5832019599056943 Val loss: 0.0007276159594766796 Time: 0.7253163999994285
Train loss: 0.5848155958797907 Val loss: 0.0008411425515078008 Time: 0.6885322000016458
Train loss: 0.6166719013730104 Val loss: 0.0010580391390249133 Time: 0.6684259000030579
Train loss: 0.5823558357999654 Val loss: 0.0005532826180569828 Time: 0.6857069999969099
Train loss: 0.556565461824384 Val loss: 0.0007900496711954474 Time: 0.6885388999944553
Train loss: 0.6152955819834336 Val loss: 0.000656832242384553 Time: 0.8315660999942338
Train loss: 0.6233572863733198 Val loss: 0.001118945423513651 Time: 0.8225397999922279
