starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_B_22-23.pth
Train loss: 14.45957625152522 Val loss: 2.143606121491757 Time: 0.5850255999830551
Train loss: 12.171776478667947 Val loss: 1.8102082209952641 Time: 0.5410857000097167
Train loss: 10.598930617019562 Val loss: 1.5787380034453236 Time: 0.49303949999739416
Train loss: 8.805218044706635 Val loss: 1.367655384932732 Time: 0.4849736999894958
Train loss: 7.443755582226027 Val loss: 1.2133783997123828 Time: 0.4963867000187747
Train loss: 6.4615746647605565 Val loss: 1.1433320906944573 Time: 0.5040769999905024
Train loss: 5.908591702782132 Val loss: 1.1165823108167388 Time: 0.5013245999871287
Train loss: 5.772362377249247 Val loss: 1.1115055484697223 Time: 0.4830962999840267
Train loss: 5.576106886502462 Val loss: 1.1119540936488193 Time: 0.5011172000085935
Train loss: 5.424236078782343 Val loss: 1.1207420400023693 Time: 0.48003520001657307
Train loss: 5.3483813152273285 Val loss: 1.1275293116632383 Time: 0.48420929998974316
Train loss: 5.2472110538648735 Val loss: 1.1357294349290896 Time: 0.5044653999793809
Train loss: 5.25088130271547 Val loss: 1.1420553621574072 Time: 0.7310786000161897
Train loss: 5.011928919165889 Val loss: 1.145958772402082 Time: 0.9698293000110425
Train loss: 5.03506072531656 Val loss: 1.1503490723371215 Time: 0.9709924999915529
Train loss: 4.908465405364964 Val loss: 1.1601247921837228 Time: 1.0019000000029337
Train loss: 4.889967725805555 Val loss: 1.1636178645380824 Time: 1.2878094000043347
Train loss: 4.812027123918001 Val loss: 1.1675092892292014 Time: 0.9792787999904249
Train loss: 4.666612880767034 Val loss: 1.1686848392928368 Time: 1.2092110000085086
Train loss: 4.804231831401878 Val loss: 1.1757097021327354 Time: 1.2075901000062004
Train loss: 4.645437667606392 Val loss: 1.183354115957627 Time: 1.1553518000000622
Train loss: 4.460960614914153 Val loss: 1.1770461699343286 Time: 1.0864504000055604
Train loss: 4.5173125099014175 Val loss: 1.1715100267902017 Time: 1.1445592000090983
Train loss: 4.322068404245512 Val loss: 1.1686843128991313 Time: 1.1097183999954723
Train loss: 4.180101043514176 Val loss: 1.1932962929422501 Time: 1.0846881000034045
Train loss: 4.19411973140312 Val loss: 1.1670776825631037 Time: 1.119096600014018
Train loss: 4.1287070762914695 Val loss: 1.1736539510893635 Time: 1.0604461999901105
Train loss: 4.0812006364467734 Val loss: 1.171923889865866 Time: 0.9511062999954447
Train loss: 4.0622473390522265 Val loss: 1.16548720562173 Time: 0.6769559000094887
Train loss: 3.8940339884462354 Val loss: 1.1646875814785744 Time: 0.47171030001481995
Train loss: 3.963730737822683 Val loss: 1.1745513108471641 Time: 0.4817962999804877
Train loss: 3.7770788813640435 Val loss: 1.1703798204252962 Time: 0.4984030000050552
Train loss: 3.8583329731913545 Val loss: 1.1659220426226966 Time: 0.483188300015172
Train loss: 3.8021690293145127 Val loss: 1.156096831371542 Time: 0.46888440000475384
Train loss: 3.8558746496345577 Val loss: 1.1787963439637679 Time: 0.4774637999944389
Train loss: 3.645277387510884 Val loss: 1.1681160600546718 Time: 0.4715754999779165
Train loss: 3.5511907111114596 Val loss: 1.1684062409340186 Time: 0.48288660001708195
Train loss: 3.4661651047768984 Val loss: 1.1983173972694203 Time: 0.46990769999683835
Train loss: 3.6011284408703403 Val loss: 1.1520649717131164 Time: 0.4654727000161074
Train loss: 3.48945293717336 Val loss: 1.2080550917598885 Time: 0.4821848999999929
Train loss: 3.2539010034578464 Val loss: 1.1905592524562962 Time: 0.5041548000008333
Train loss: 3.3557186074127117 Val loss: 1.1987391193397343 Time: 0.5163240000256337
Train loss: 3.272187625404456 Val loss: 1.1679495406569913 Time: 0.4809817000059411
Train loss: 3.1356280978640143 Val loss: 1.212761962087825 Time: 0.48873640000238083
Train loss: 3.168461911613165 Val loss: 1.2122386227129027 Time: 0.4982212999893818
Train loss: 3.1572085470537354 Val loss: 1.2389743669191375 Time: 0.48936000000685453
Train loss: 3.0428530171983326 Val loss: 1.2395008935418446 Time: 0.466995599999791
Train loss: 3.1374382578170303 Val loss: 1.2246934979630169 Time: 0.5077041000186
Train loss: 2.950613455545987 Val loss: 1.2581724181218306 Time: 0.46627959999023005
Train loss: 2.868287599645164 Val loss: 1.2707111517083831 Time: 0.483125700004166
Train loss: 3.0020628591298344 Val loss: 1.2871194837789517 Time: 0.49058579999837093
Train loss: 2.903312149994129 Val loss: 1.3088922672104673 Time: 0.4694539000047371
Train loss: 2.9496649082046247 Val loss: 1.3082418864451029 Time: 0.5037197999772616
Train loss: 2.8811197976769423 Val loss: 1.3220355734274563 Time: 0.4866207000159193
Train loss: 2.8271736452537297 Val loss: 1.349801866263988 Time: 0.491143799998099
Train loss: 2.6662451311799273 Val loss: 1.3731088704234935 Time: 0.4741146999876946
Train loss: 2.75902965074572 Val loss: 1.4207503659163194 Time: 0.4858437000075355
Train loss: 2.750521792985637 Val loss: 1.423283206029737 Time: 0.4991507999948226
Train loss: 2.6417981931216943 Val loss: 1.4429397006460931 Time: 0.47460420001880266
Train loss: 2.5498893075664313 Val loss: 1.5041232496178054 Time: 0.4789370000071358
Train loss: 2.640978390458116 Val loss: 1.4985392099479213 Time: 0.48690249997889623
Train loss: 2.469887597647132 Val loss: 1.4938310270554211 Time: 0.46766259998548776
Train loss: 2.5469234964674357 Val loss: 1.6082057200546842 Time: 0.4919536999950651
Train loss: 2.569607452278106 Val loss: 1.6180592743039597 Time: 0.4831250999995973
Train loss: 2.4823700580617327 Val loss: 1.5800494174618507 Time: 0.4835966000100598
