starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_3lay_drop_22-23.pth
Train loss: 15.64415413920168 Val loss: 2.531999301918404 Time: 2.080021300003864
Train loss: 14.642779575933414 Val loss: 2.476724979667779 Time: 2.149593999987701
Train loss: 14.440149876654651 Val loss: 2.4265284029985423 Time: 2.162806099993759
Train loss: 14.5281391784618 Val loss: 2.409147869881963 Time: 1.796965600005933
Train loss: 14.414312054243965 Val loss: 2.3994423548638224 Time: 1.0734498999954667
Train loss: 14.358613161170041 Val loss: 2.423465033903085 Time: 1.1526998999906937
Train loss: 14.323822128998131 Val loss: 2.3447464717828552 Time: 1.1303062999941176
Train loss: 13.151912755676905 Val loss: 1.9840565627310127 Time: 1.1049027999979444
Train loss: 9.177096218843076 Val loss: 1.2661541593042784 Time: 1.1331352999986848
Train loss: 7.181851650326523 Val loss: 1.1762715775694232 Time: 1.1103395000100136
Train loss: 6.667841734685245 Val loss: 1.0994340647157514 Time: 1.1756180000083987
Train loss: 6.48530315913165 Val loss: 1.0658456875244156 Time: 1.3033504000050016
Train loss: 6.495467684852986 Val loss: 1.044214398614713 Time: 1.1285523999977158
Train loss: 6.132942865592751 Val loss: 1.0154725195134233 Time: 1.1523459000018192
Train loss: 6.002832129480577 Val loss: 1.0032739248636062 Time: 1.1564279000012903
Train loss: 6.140723099089142 Val loss: 0.9817921584917713 Time: 1.1318966000108048
Train loss: 5.714554084412017 Val loss: 0.9752437192285015 Time: 1.1400460000004387
Train loss: 5.693286466900389 Val loss: 0.964284078541823 Time: 1.1401034000009531
Train loss: 5.343898884937575 Val loss: 0.9414014001113173 Time: 1.1272592000022996
Train loss: 5.427045668064262 Val loss: 0.9280191210655175 Time: 1.1355689999909373
Train loss: 5.138844900122799 Val loss: 0.919065282032534 Time: 1.1110507999983383
Train loss: 5.435359669150739 Val loss: 0.9154259680526593 Time: 1.1222422999999253
Train loss: 4.952041405554657 Val loss: 0.910765002456003 Time: 1.1187172999925679
Train loss: 4.658090640610229 Val loss: 0.8789037200622261 Time: 1.0927360000059707
Train loss: 4.621948562338159 Val loss: 0.9003021675271157 Time: 1.151340500000515
Train loss: 4.420496023183789 Val loss: 0.8817570267565316 Time: 1.137654600010137
Train loss: 4.605974572679404 Val loss: 0.9035090384804789 Time: 1.1281635999912396
Train loss: 4.141367640347138 Val loss: 0.8594526226079324 Time: 1.1644500999973388
Train loss: 4.076385270187586 Val loss: 0.8632088167069014 Time: 1.1036350000067614
Train loss: 4.13157067768444 Val loss: 0.8665755230140348 Time: 1.1499024999939138
Train loss: 3.824308921013877 Val loss: 0.8524742548106587 Time: 1.119693599990569
Train loss: 3.8725235700431737 Val loss: 0.8500774905405706 Time: 1.139859200004139
Train loss: 3.6438431436037284 Val loss: 0.8468929847003892 Time: 1.1516160000028322
Train loss: 3.354238570971972 Val loss: 0.8299969202371358 Time: 1.106875500001479
Train loss: 3.4352508259373673 Val loss: 0.8166572555383027 Time: 1.1328980999969644
Train loss: 3.203244491619259 Val loss: 0.8047717811423354 Time: 1.1334720000013476
Train loss: 3.3618629797537745 Val loss: 0.7732278915018469 Time: 1.1245057999913115
Train loss: 3.170122700875409 Val loss: 0.7687952747437521 Time: 1.13517929999216
Train loss: 3.0558238007349967 Val loss: 0.7732871288899332 Time: 1.1219805000000633
Train loss: 3.1512590426917395 Val loss: 0.7612879610969685 Time: 1.1116068999981508
Train loss: 2.8437018487137546 Val loss: 0.7766695515601896 Time: 1.13263310000184
Train loss: 2.732150416762142 Val loss: 0.7283400442283892 Time: 1.1420813000004273
Train loss: 2.787594260187748 Val loss: 0.7529626745526912 Time: 1.1150207000027876
Train loss: 2.804648327492016 Val loss: 0.7583849103393732 Time: 1.1454359000053955
Train loss: 2.568233779466897 Val loss: 0.6850112272841216 Time: 1.1504955000127666
Train loss: 2.692124756400554 Val loss: 0.7674935619127154 Time: 1.1226935000013327
Train loss: 2.6863641424667595 Val loss: 0.6961889341473579 Time: 1.1220025000075111
Train loss: 2.4839257379508894 Val loss: 0.6917973749514204 Time: 1.1052390999975614
Train loss: 2.3522339967485664 Val loss: 0.7616904280200743 Time: 1.133978500001831
Train loss: 2.497670921810514 Val loss: 0.8792298968687646 Time: 1.1322658999997657
Train loss: 2.4560573521829596 Val loss: 0.697052075083775 Time: 1.1208069999993313
Train loss: 2.1880435598054584 Val loss: 0.833390661681733 Time: 1.1122181999962777
Train loss: 2.192055785744721 Val loss: 0.776325465175205 Time: 1.1483719999960158
Train loss: 2.377157842896767 Val loss: 0.8152353253099136 Time: 1.154594999999972
Train loss: 2.5394547926477338 Val loss: 0.9868693321477622 Time: 1.1222812999913003
Train loss: 2.360777098481772 Val loss: 0.8639971680822782 Time: 1.1382352999935392
Train loss: 2.0337329844384904 Val loss: 0.6483520125831319 Time: 1.1199296000122558
Train loss: 2.258371970905026 Val loss: 0.87789298791904 Time: 1.1197986000042874
