starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_3lay_drop_22-23.pth
Train loss: 1.2668013158953384 Val loss: 0.7627749829161985 Time: 1.154645000002347
Train loss: 1.5670286338759505 Val loss: 0.8185931762745895 Time: 1.1146589999989374
Train loss: 1.1360476750617625 Val loss: 0.8055708963247525 Time: 1.1120434000040404
Train loss: 1.3008639821137855 Val loss: 0.6714592955650005 Time: 1.148407300002873
Train loss: 1.2156469315589407 Val loss: 0.8646595923225391 Time: 1.1205856000015046
Train loss: 1.3224228537475824 Val loss: 0.6742614074505582 Time: 1.1375712000008207
Train loss: 1.1779081814137802 Val loss: 0.8222085000488732 Time: 1.134536899990053
Train loss: 1.1832625130700336 Val loss: 0.740222364280271 Time: 1.109979699991527
Train loss: 1.1108751968954276 Val loss: 0.978296384377245 Time: 1.1122661999979755
Train loss: 1.3146271103515428 Val loss: 0.7266206794191419 Time: 1.1464876999962144
Train loss: 1.2091419538090022 Val loss: 0.5890825088083602 Time: 1.1216084999905434
Train loss: 1.522524210069939 Val loss: 0.8423418178063002 Time: 1.1333236999926157
Train loss: 1.1747072769750133 Val loss: 0.8320055785867453 Time: 1.1367313000082504
Train loss: 1.1250287463162425 Val loss: 0.8582282164925346 Time: 1.1606071999995038
Train loss: 1.0677672131491844 Val loss: 0.7068313786058908 Time: 1.1238897000002908
Train loss: 1.1014355108501164 Val loss: 0.7148651111330082 Time: 1.1254284999886295
Train loss: 1.070516933761685 Val loss: 0.8471116642504057 Time: 1.117135300009977
Train loss: 0.8977113455962826 Val loss: 0.610281805033992 Time: 1.1391989000112517
Train loss: 1.0268360681326587 Val loss: 0.491095576719772 Time: 1.1297423000069102
Train loss: 1.0890891513230265 Val loss: 0.6656754534765241 Time: 1.1151489000039874
Train loss: 0.9283792407026001 Val loss: 0.7007247068666231 Time: 1.1498498000000836
Train loss: 0.9841890228668744 Val loss: 0.9395731769750455 Time: 1.1572798999986844
Train loss: 1.03401393242454 Val loss: 0.5706948744161764 Time: 1.1456133000028785
Train loss: 0.9210498990445295 Val loss: 0.674144834687354 Time: 1.1526805000030436
Train loss: 0.9570475436268708 Val loss: 0.6683494566469932 Time: 1.1786927000066498
Train loss: 1.0794060089091864 Val loss: 0.7044312485667774 Time: 1.160076800006209
Train loss: 0.757939491510772 Val loss: 0.6446031032367046 Time: 1.125719499992556
Train loss: 0.9998849024545047 Val loss: 0.8689535095911651 Time: 1.125466299999971
Train loss: 0.7858958129670544 Val loss: 0.7504831668173759 Time: 1.1159511000005296
Train loss: 0.9726016811761307 Val loss: 0.5828720548918227 Time: 1.1279716999997618
Train loss: 0.9421211835719574 Val loss: 0.7508419264804616 Time: 1.103596800006926
Train loss: 0.8625408898349978 Val loss: 0.7791700470467902 Time: 1.1735264000017196
Train loss: 1.0833755991238894 Val loss: 0.6620390060293175 Time: 1.1548499000055017
Train loss: 0.8606568627279039 Val loss: 0.8186633340171312 Time: 1.0971753999911016
Train loss: 0.7673502755118218 Val loss: 0.5634482067023328 Time: 1.1325855999893975
Train loss: 0.7958450301421647 Val loss: 0.5913721535014247 Time: 1.1073846999934176
Shrinking learning rate to 1e-05
Train loss: 1.001468539072789 Val loss: 0.6773890556669357 Time: 1.1266368000069633
Train loss: 0.9602143272213546 Val loss: 0.7144017268192329 Time: 1.1153978999936953
Train loss: 0.8550583022269089 Val loss: 0.6760373699889897 Time: 1.1193553000048269
Train loss: 0.825994614791111 Val loss: 0.6849768984275215 Time: 1.1100968999962788
Train loss: 0.8850254658565442 Val loss: 0.6896957655526421 Time: 1.1181267999927513
Train loss: 0.7744883100253412 Val loss: 0.7057372250947083 Time: 1.1125790999940364
Train loss: 0.9447951519872282 Val loss: 0.7094210181983271 Time: 1.117708899997524
Train loss: 0.7256303670553219 Val loss: 0.7328050111429434 Time: 1.0767258999985643
Train loss: 0.7934317690986408 Val loss: 0.7196135689385583 Time: 1.1110226999880979
Train loss: 0.7093989065044557 Val loss: 0.73207356347549 Time: 1.1265011000068625
Train loss: 0.8740783973285322 Val loss: 0.7284529740016126 Time: 1.1287067999946885
Train loss: 0.6331312994544334 Val loss: 0.7008324610405907 Time: 1.084165500011295
Train loss: 0.7367391352438861 Val loss: 0.7371454710474277 Time: 1.19403389999934
Train loss: 0.7570794668332836 Val loss: 0.724158684783788 Time: 1.1143734000070253
Train loss: 0.721842101815021 Val loss: 0.7205857672898901 Time: 1.0551355999923544
Train loss: 0.8617640138321367 Val loss: 0.7527408584018644 Time: 1.1368278000009013
Train loss: 0.7464147759156963 Val loss: 0.7709904209840488 Time: 1.090312400003313
Train loss: 0.8070278026754645 Val loss: 0.7503069126714763 Time: 1.086267200007569
Train loss: 0.8935863994335733 Val loss: 0.6979890352740767 Time: 1.1072089999943273
Train loss: 0.7217217653773027 Val loss: 0.7520980428012081 Time: 1.115797599995858
Train loss: 0.7391453568256132 Val loss: 0.7689718653141426 Time: 1.1219703999959165
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.7958251312965747 Val loss: 0.7090103654536506 Time: 1.1935724000068149
Train loss: 0.8164957093536964 Val loss: 0.7134171394736768 Time: 1.130171299999347
Train loss: 0.704252986901379 Val loss: 0.7151777031426718 Time: 1.111696399995708
Train loss: 0.8377228806048476 Val loss: 0.7220766897673911 Time: 1.0959160000056727
Train loss: 0.8046369645267681 Val loss: 0.7265220110888322 Time: 1.0903248999966308
Train loss: 0.9451103077959349 Val loss: 0.7327512210551959 Time: 1.1016051000042353
Train loss: 0.9699866831767392 Val loss: 0.7320381875986754 Time: 1.1092146000009961
Train loss: 0.8305984167293916 Val loss: 0.7303423192360015 Time: 1.1059664999920642
Train loss: 0.935652547266729 Val loss: 0.7338411640337625 Time: 1.134206600007019
Train loss: 0.7607360153929117 Val loss: 0.73456283883894 Time: 1.1456684000004316
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 184.20333450000908
